dataset,run,alpha,empirical_far,n_preonset,n_cal,calibrated
FEMTO,Bearing1_1,0.01,0.0670391061452514,179,56,False
FEMTO,Bearing1_1,0.02,0.3463687150837989,179,56,False
FEMTO,Bearing1_1,0.05,0.5642458100558659,179,56,False
FEMTO,Bearing1_1,0.1,0.6871508379888268,179,56,False
FEMTO,Bearing1_1,0.15,0.8212290502793296,179,56,False
FEMTO,Bearing1_1,0.2,0.8379888268156425,179,56,False
FEMTO,Bearing1_2,0.01,0.0967741935483871,62,17,False
FEMTO,Bearing1_2,0.02,0.0967741935483871,62,17,False
FEMTO,Bearing1_2,0.05,0.0967741935483871,62,17,False
FEMTO,Bearing1_2,0.1,0.11290322580645161,62,17,False
FEMTO,Bearing1_2,0.15,0.1935483870967742,62,17,False
FEMTO,Bearing1_2,0.2,0.1935483870967742,62,17,True
FEMTO,Bearing2_1,0.01,0.36619718309859156,71,18,False
FEMTO,Bearing2_1,0.02,0.36619718309859156,71,18,False
FEMTO,Bearing2_1,0.05,0.36619718309859156,71,18,False
FEMTO,Bearing2_1,0.1,0.38028169014084506,71,18,False
FEMTO,Bearing2_1,0.15,0.6338028169014085,71,18,False
FEMTO,Bearing2_1,0.2,0.6338028169014085,71,18,False
FEMTO,Bearing2_2,0.01,0.08064516129032258,62,15,False
FEMTO,Bearing2_2,0.02,0.08064516129032258,62,15,False
FEMTO,Bearing2_2,0.05,0.08064516129032258,62,15,False
FEMTO,Bearing2_2,0.1,0.12903225806451613,62,15,False
FEMTO,Bearing2_2,0.15,0.12903225806451613,62,15,True
FEMTO,Bearing2_2,0.2,0.12903225806451613,62,15,True
FEMTO,Bearing3_1,0.01,0.2777777777777778,36,10,False
FEMTO,Bearing3_1,0.02,0.2777777777777778,36,10,False
FEMTO,Bearing3_1,0.05,0.2777777777777778,36,10,False
FEMTO,Bearing3_1,0.1,0.4166666666666667,36,10,False
FEMTO,Bearing3_1,0.15,0.4166666666666667,36,10,False
FEMTO,Bearing3_1,0.2,0.4722222222222222,36,10,False
FEMTO,Bearing3_2,0.01,0.2459016393442623,122,32,False
FEMTO,Bearing3_2,0.02,0.2459016393442623,122,32,False
FEMTO,Bearing3_2,0.05,0.2459016393442623,122,32,False
FEMTO,Bearing3_2,0.1,0.2786885245901639,122,32,False
FEMTO,Bearing3_2,0.15,0.28688524590163933,122,32,False
FEMTO,Bearing3_2,0.2,0.32786885245901637,122,32,False
