dataset,run,alpha,empirical_far,n_preonset,n_cal,calibrated
IMS,1st_test,0.01,0.7393939393939394,165,43,False
IMS,1st_test,0.02,0.7393939393939394,165,43,False
IMS,1st_test,0.05,0.8242424242424242,165,43,False
IMS,1st_test,0.1,0.8484848484848485,165,43,False
IMS,1st_test,0.15,0.8606060606060606,165,43,False
IMS,1st_test,0.2,0.8606060606060606,165,43,False
IMS,2nd_test,0.01,0.0,4,20,True
IMS,2nd_test,0.02,0.0,4,20,True
IMS,2nd_test,0.05,0.0,4,20,True
IMS,2nd_test,0.1,0.0,4,20,True
IMS,2nd_test,0.15,0.25,4,20,False
IMS,2nd_test,0.2,0.25,4,20,False
IMS,3rd_test,0.01,0.00881057268722467,454,126,True
IMS,3rd_test,0.02,0.028634361233480177,454,126,False
IMS,3rd_test,0.05,0.04405286343612335,454,126,True
IMS,3rd_test,0.1,0.1277533039647577,454,126,False
IMS,3rd_test,0.15,0.2356828193832599,454,126,False
IMS,3rd_test,0.2,0.2973568281938326,454,126,False
