dataset,run,alpha,empirical_far,n_preonset,n_cal,calibrated
XJTU-SY,Bearing1_1,0.01,1.0,1,2,False
XJTU-SY,Bearing1_1,0.02,1.0,1,2,False
XJTU-SY,Bearing1_1,0.05,1.0,1,2,False
XJTU-SY,Bearing1_1,0.1,1.0,1,2,False
XJTU-SY,Bearing1_1,0.15,1.0,1,2,False
XJTU-SY,Bearing1_1,0.2,1.0,1,2,False
XJTU-SY,Bearing1_2,0.01,1.0,1,3,False
XJTU-SY,Bearing1_2,0.02,1.0,1,3,False
XJTU-SY,Bearing1_2,0.05,1.0,1,3,False
XJTU-SY,Bearing1_2,0.1,1.0,1,3,False
XJTU-SY,Bearing1_2,0.15,1.0,1,3,False
XJTU-SY,Bearing1_2,0.2,1.0,1,3,False
XJTU-SY,Bearing1_4,0.01,1.0,2,2,False
XJTU-SY,Bearing1_4,0.02,1.0,2,2,False
XJTU-SY,Bearing1_4,0.05,1.0,2,2,False
XJTU-SY,Bearing1_4,0.1,1.0,2,2,False
XJTU-SY,Bearing1_4,0.15,1.0,2,2,False
XJTU-SY,Bearing1_4,0.2,1.0,2,2,False
XJTU-SY,Bearing2_1,0.01,0.09375,32,10,False
XJTU-SY,Bearing2_1,0.02,0.09375,32,10,False
XJTU-SY,Bearing2_1,0.05,0.09375,32,10,False
XJTU-SY,Bearing2_1,0.1,0.375,32,10,False
XJTU-SY,Bearing2_1,0.15,0.375,32,10,False
XJTU-SY,Bearing2_1,0.2,0.375,32,10,False
XJTU-SY,Bearing2_3,0.01,0.0,1,11,True
XJTU-SY,Bearing2_3,0.02,0.0,1,11,True
XJTU-SY,Bearing2_3,0.05,0.0,1,11,True
XJTU-SY,Bearing2_3,0.1,1.0,1,11,False
XJTU-SY,Bearing2_3,0.15,1.0,1,11,False
XJTU-SY,Bearing2_3,0.2,1.0,1,11,False
XJTU-SY,Bearing2_4,0.01,1.0,1,1,False
XJTU-SY,Bearing2_4,0.02,1.0,1,1,False
XJTU-SY,Bearing2_4,0.05,1.0,1,1,False
XJTU-SY,Bearing2_4,0.1,1.0,1,1,False
XJTU-SY,Bearing2_4,0.15,1.0,1,1,False
XJTU-SY,Bearing2_4,0.2,1.0,1,1,False
