dataset,method,n_runs,n_pos,n_neg,n_zero,n_effective,attainable_one_sided_floor,tost_feasible,median_diff_h,p_lower,n_eff_lower,p_upper,n_eff_upper,p_tost,tost_equivalent
"IMS (published, legacy 445-dim)",3σ Rule (σ=3.0),3,3,0,0,3,0.125,False,18.43333333333333,,,,,,
"IMS (published, legacy 445-dim)","CUSUM (k=0.5, h=5.0)",3,3,0,0,3,0.125,False,5.433333333333334,,,,,,
"IMS (published, legacy 445-dim)",Deep SVDD,3,2,0,1,2,0.25,False,1.766666666666667,,,,,,
"IMS (published, legacy 445-dim)","EWMA (λ=0.2, k=3.0)",3,3,0,0,3,0.125,False,5.766666666666666,,,,,,
"IMS (published, legacy 445-dim)",Hotelling T²,3,3,0,0,3,0.125,False,4.600000000000001,,,,,,
"IMS (published, legacy 445-dim)",Isolation Forest,3,3,0,0,3,0.125,False,12.2,,,,,,
"IMS (published, legacy 445-dim)",LSTM-Autoencoder,3,0,3,0,3,0.125,False,-1.3888888888889142,,,,,,
"IMS (published, legacy 445-dim)",RMS-Trend (kσ),3,1,1,1,2,0.25,False,0.0,,,,,,
"IMS (published, legacy 445-dim)",TCN-Autoencoder,3,0,3,0,3,0.125,False,-0.4166666666666572,,,,,,
"IMS (published, legacy 445-dim)",Transformer-AD,3,0,3,0,3,0.125,False,-1.3888888888889142,,,,,,
"IMS (invariant re-baseline, D-2)",3σ Rule (σ=3.0),3,2,1,0,3,0.125,False,15.099999999999994,,,,,,
"IMS (invariant re-baseline, D-2)","CUSUM (k=0.5, h=5.0)",3,3,0,0,3,0.125,False,4.266666666666669,,,,,,
"IMS (invariant re-baseline, D-2)",Deep SVDD,3,1,0,2,1,0.5,False,0.0,,,,,,
"IMS (invariant re-baseline, D-2)","EWMA (λ=0.2, k=3.0)",3,2,1,0,3,0.125,False,2.1000000000000014,,,,,,
"IMS (invariant re-baseline, D-2)",Hotelling T²,3,3,0,0,3,0.125,False,1.1666666666666643,,,,,,
"IMS (invariant re-baseline, D-2)",Isolation Forest,3,2,1,0,3,0.125,False,3.4333333333333336,,,,,,
"IMS (invariant re-baseline, D-2)",LSTM-Autoencoder,3,1,2,0,3,0.125,False,-0.4166666666666572,,,,,,
"IMS (invariant re-baseline, D-2)",RMS-Trend (kσ),3,1,1,1,2,0.25,False,0.0,,,,,,
"IMS (invariant re-baseline, D-2)",TCN-Autoencoder,3,1,2,0,3,0.125,False,-0.4166666666666572,,,,,,
"IMS (invariant re-baseline, D-2)",Transformer-AD,3,1,2,0,3,0.125,False,-0.4166666666666572,,,,,,
XJTU-SY,3σ Rule (σ=3.0),10,3,1,6,4,0.0625,False,0.0,,,,,,
XJTU-SY,"CUSUM (k=0.5, h=5.0)",10,1,2,7,3,0.125,False,0.0,,,,,,
XJTU-SY,Deep SVDD,10,3,2,5,5,0.03125,True,0.0,0.0009765625,10.0,0.0009765625,10.0,0.0009765625,True
XJTU-SY,"EWMA (λ=0.2, k=3.0)",10,2,2,6,4,0.0625,False,0.0,,,,,,
XJTU-SY,Hotelling T²,10,2,0,8,2,0.25,False,0.0,,,,,,
