label,method,n_runs,run_diffs,median_diff_h,n_pos,n_neg,n_zero,n_effective,all_same_sign,sign_test_p,two_sided_floor,test3_agg_h,test3_dec_h,test3_diff_h,test3_is_zero,test3_guaranteed_miss
corrected (2004-04-18),3σ Rule (σ=3.0),3,"+25.81, +15.10, -1.00",15.099999999999994,2,1,0,3,False,1.0,0.25,32.99999999999999,34.0,-1.000000000000007,False,False
corrected (2004-04-18),"CUSUM (k=0.5, h=5.0)",3,"+4.15, +4.67, +4.27",4.266666666666669,3,0,0,3,True,0.25,0.25,23.5,19.23333333333333,4.266666666666669,False,False
corrected (2004-04-18),Deep SVDD,3,"+8.93, +0.00, +0.00",0.0,1,0,2,1,True,1.0,1.0,2.1,2.1,0.0,True,False
corrected (2004-04-18),"EWMA (λ=0.2, k=3.0)",3,"-3.89, +4.33, +2.10",2.1000000000000014,2,1,0,3,False,1.0,0.25,24.166666666666668,22.066666666666666,2.1000000000000014,False,False
corrected (2004-04-18),Hotelling T²,3,"+1.00, +1.17, +81.74",1.1666666666666643,3,0,0,3,True,0.25,0.25,214.20999999999998,132.47333333333333,81.73666666666665,False,False
corrected (2004-04-18),Isolation Forest,3,"-0.67, +16.87, +3.43",3.4333333333333336,2,1,0,3,False,1.0,0.25,30.833333333333332,27.4,3.4333333333333336,False,False
corrected (2004-04-18),LSTM-Autoencoder,3,"-1.39, -0.42, +56.12",-0.4166666666666572,1,2,0,3,False,1.0,0.25,339.89166666666665,283.76666666666665,56.125,False,False
corrected (2004-04-18),RMS-Trend (kσ),3,"-0.17, +0.00, +2.37",0.0,1,1,1,2,False,1.0,0.5,4.3,1.9333333333333331,2.3666666666666667,False,False
corrected (2004-04-18),TCN-Autoencoder,3,"-1.39, -0.42, +9.00",-0.4166666666666572,1,2,0,3,False,1.0,0.25,357.39166666666665,348.39166666666665,9.0,False,False
corrected (2004-04-18),Transformer-AD,3,"-1.39, -0.42, +68.79",-0.4166666666666572,1,2,0,3,False,1.0,0.25,303.6,234.80833333333334,68.79166666666669,False,False
original (2004-04-08),3σ Rule (σ=3.0),3,"+25.81, +15.10, +0.00",15.099999999999994,2,0,1,2,True,0.5,0.5,0.0,0.0,0.0,True,True
original (2004-04-08),"CUSUM (k=0.5, h=5.0)",3,"+4.15, +4.67, +0.00",4.153333333333336,2,0,1,2,True,0.5,0.5,0.0,0.0,0.0,True,True
original (2004-04-08),Deep SVDD,3,"+8.93, +0.00, +0.00",0.0,1,0,2,1,True,1.0,1.0,0.0,0.0,0.0,True,True
original (2004-04-08),"EWMA (λ=0.2, k=3.0)",3,"-3.89, +4.33, +0.00",0.0,1,1,1,2,False,1.0,0.5,0.0,0.0,0.0,True,True
original (2004-04-08),Hotelling T²,3,"+1.00, +1.17, +35.30",1.1666666666666714,3,0,0,3,True,0.25,0.25,51.78333333333334,16.483333333333334,35.300000000000004,False,False
original (2004-04-08),Isolation Forest,3,"-0.67, +16.87, +0.00",0.0,1,1,1,2,False,1.0,0.5,0.0,0.0,0.0,True,True
original (2004-04-08),LSTM-Autoencoder,3,"-1.39, -0.42, +41.33",-0.4166666666666572,1,2,0,3,False,1.0,0.25,107.9375,66.60416666666666,41.33333333333334,False,False
original (2004-04-08),RMS-Trend (kσ),3,"-0.17, +0.00, +0.00",0.0,0,1,2,1,True,1.0,1.0,0.0,0.0,0.0,True,True
original (2004-04-08),TCN-Autoencoder,3,"-1.39, -0.42, +9.00",-0.4166666666666572,1,2,0,3,False,1.0,0.25,123.95833333333334,114.95833333333333,9.000000000000014,False,False
original (2004-04-08),Transformer-AD,3,"-1.39, -0.42, +48.15",-0.4166666666666572,1,2,0,3,False,1.0,0.25,92.47916666666667,44.333333333333336,48.145833333333336,False,False
