dataset,run,gap,gap_seed,method,short_name,lead,far_preonset_pct,valid
IMS,1st_test,0.0,-1,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,1st_test,0.0,-1,3σ Rule (σ=3.0),three_sigma,108.69888888888889,41.81818181818181,False
IMS,1st_test,0.0,-1,"EWMA (λ=0.2, k=3.0)",ewma,152.23222222222222,63.63636363636363,False
IMS,1st_test,0.0,-1,"CUSUM (k=0.5, h=5.0)",cusum,114.93222222222222,57.57575757575758,False
IMS,1st_test,0.0,-1,Hotelling T²,hotelling_t2,152.23222222222222,65.45454545454545,False
IMS,1st_test,0.0,-1,Isolation Forest,isolation_forest,152.23222222222222,72.72727272727273,False
IMS,1st_test,0.05,101,RMS-Trend (kσ),rms_trend,93.73222222222222,7.2727272727272725,True
IMS,1st_test,0.05,101,3σ Rule (σ=3.0),three_sigma,113.26555555555555,52.72727272727272,False
IMS,1st_test,0.05,101,"EWMA (λ=0.2, k=3.0)",ewma,117.43222222222222,59.3939393939394,False
IMS,1st_test,0.05,101,"CUSUM (k=0.5, h=5.0)",cusum,112.43222222222222,55.757575757575765,False
IMS,1st_test,0.05,101,Hotelling T²,hotelling_t2,152.23222222222222,65.45454545454545,False
IMS,1st_test,0.05,101,Isolation Forest,isolation_forest,152.23222222222222,72.12121212121212,False
IMS,1st_test,0.05,102,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,1st_test,0.05,102,3σ Rule (σ=3.0),three_sigma,108.69888888888889,41.21212121212121,False
IMS,1st_test,0.05,102,"EWMA (λ=0.2, k=3.0)",ewma,152.23222222222222,63.63636363636363,False
IMS,1st_test,0.05,102,"CUSUM (k=0.5, h=5.0)",cusum,114.93222222222222,57.57575757575758,False
IMS,1st_test,0.05,102,Hotelling T²,hotelling_t2,152.23222222222222,66.06060606060606,False
IMS,1st_test,0.05,102,Isolation Forest,isolation_forest,152.23222222222222,72.72727272727273,False
IMS,1st_test,0.05,103,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,1st_test,0.05,103,3σ Rule (σ=3.0),three_sigma,108.69888888888889,41.81818181818181,False
IMS,1st_test,0.05,103,"EWMA (λ=0.2, k=3.0)",ewma,152.23222222222222,63.63636363636363,False
IMS,1st_test,0.05,103,"CUSUM (k=0.5, h=5.0)",cusum,114.93222222222222,57.57575757575758,False
IMS,1st_test,0.05,103,Hotelling T²,hotelling_t2,152.23222222222222,66.06060606060606,False
IMS,1st_test,0.05,103,Isolation Forest,isolation_forest,152.23222222222222,72.72727272727273,False
IMS,1st_test,0.05,104,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,1st_test,0.05,104,3σ Rule (σ=3.0),three_sigma,108.69888888888889,41.81818181818181,False
IMS,1st_test,0.05,104,"EWMA (λ=0.2, k=3.0)",ewma,152.23222222222222,63.63636363636363,False
IMS,1st_test,0.05,104,"CUSUM (k=0.5, h=5.0)",cusum,114.0988888888889,56.96969696969697,False
IMS,1st_test,0.05,104,Hotelling T²,hotelling_t2,152.23222222222222,66.06060606060606,False
IMS,1st_test,0.05,104,Isolation Forest,isolation_forest,152.23222222222222,72.72727272727273,False
IMS,1st_test,0.05,105,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,1st_test,0.05,105,3σ Rule (σ=3.0),three_sigma,108.69888888888889,41.81818181818181,False
IMS,1st_test,0.05,105,"EWMA (λ=0.2, k=3.0)",ewma,152.23222222222222,63.030303030303024,False
IMS,1st_test,0.05,105,"CUSUM (k=0.5, h=5.0)",cusum,114.0988888888889,56.96969696969697,False
IMS,1st_test,0.05,105,Hotelling T²,hotelling_t2,152.23222222222222,64.84848484848484,False
IMS,1st_test,0.05,105,Isolation Forest,isolation_forest,152.23222222222222,73.33333333333333,False
IMS,1st_test,0.2,101,RMS-Trend (kσ),rms_trend,0.0,0.0,False
IMS,1st_test,0.2,101,3σ Rule (σ=3.0),three_sigma,113.26555555555555,52.72727272727272,False
IMS,1st_test,0.2,101,"EWMA (λ=0.2, k=3.0)",ewma,152.23222222222222,63.63636363636363,False
