dataset,method,mode,factor,effective_interval_min,lead_time_hours_mean,lead_time_hours_lo,lead_time_hours_hi,n_runs
FEMTO,One-Class SVM (nu=0.05),aggregate,1,0.17,0.950462962962963,0.6893402777777776,1.297222222222222,6
FEMTO,One-Class SVM (nu=0.05),aggregate,2,1.0,1.0185185185185188,0.6388888888888888,1.5372916666666654,6
FEMTO,One-Class SVM (nu=0.05),aggregate,5,1.0,1.0324074074074074,0.7009027777777777,1.514814814814815,6
FEMTO,One-Class SVM (nu=0.05),aggregate,10,2.0,1.1018518518518519,0.7277777777777779,1.6555555555555557,6
FEMTO,One-Class SVM (nu=0.05),aggregate,20,3.0,1.0851851851851853,0.8037037037037037,1.4518518518518517,6
FEMTO,One-Class SVM (nu=0.05),decimate,1,0.17,0.950462962962963,0.6833333333333332,1.290289351851852,6
FEMTO,One-Class SVM (nu=0.05),decimate,2,0.33,0.7444444444444445,0.5388888888888889,0.9324074074074072,6
FEMTO,One-Class SVM (nu=0.05),decimate,5,0.83,1.1611111111111112,0.7782407407407407,1.745833333333333,6
FEMTO,One-Class SVM (nu=0.05),decimate,10,1.67,1.1935185185185186,0.7870370370370369,1.663009259259259,6
FEMTO,One-Class SVM (nu=0.05),decimate,20,3.33,1.2722222222222221,0.7916666666666666,1.8925925925925924,6
Ferrara,One-Class SVM (nu=0.05),aggregate,1,0.08,0.9793981481481481,0.5152777777777778,1.4958333333333333,6
Ferrara,One-Class SVM (nu=0.05),aggregate,2,1.0,1.0363425925925926,0.5574074074074075,1.580324074074074,6
Ferrara,One-Class SVM (nu=0.05),aggregate,5,1.0,1.019675925925926,0.5518518518518518,1.5215277777777778,6
Ferrara,One-Class SVM (nu=0.05),aggregate,10,1.0,1.083564814814815,0.55,1.6933333333333305,6
Ferrara,One-Class SVM (nu=0.05),aggregate,20,2.0,1.0641203703703705,0.5650405092592592,1.6354166666666667,6
Ferrara,One-Class SVM (nu=0.05),decimate,1,0.08,0.9793981481481481,0.5277314814814815,1.4780092592592595,6
Ferrara,One-Class SVM (nu=0.05),decimate,2,0.17,0.9650462962962961,0.4453703703703704,1.6122685185185184,6
Ferrara,One-Class SVM (nu=0.05),decimate,5,0.42,1.104398148148148,0.5525462962962963,1.7729166666666665,6
Ferrara,One-Class SVM (nu=0.05),decimate,10,0.83,1.106712962962963,0.5189814814814815,1.8159722222222223,6
Ferrara,One-Class SVM (nu=0.05),decimate,20,1.67,1.0604166666666666,0.5131944444444444,1.6672627314814796,6
