short_name,display,method,PH_h,L_tau05_h,L_tau10_h,L_tau20_h,max_valid_frac,min_mean_far,valid_at_tau10,PH_rank,L_rank
lstm_ae,LSTM-AE,LSTM-Autoencoder,199.6051851851852,0.0,0.0,0.0,0.3333333333333333,62.00106794820452,False,1,4
tcn,TCN-AE,TCN-Autoencoder,185.36074074074077,0.0,0.0,0.0,0.0,74.42753526453967,False,2,4
transformer_ad,Transformer-AD,Transformer-AD,183.97185185185185,0.0,0.0,0.0,0.0,71.98593868197393,False,3,4
one_class_svm,One-Class SVM,One-Class SVM (nu=0.05),180.24962962962965,0.0,0.0,0.0,0.3333333333333333,55.445200907755975,False,4,4
hotelling_t2,Hotelling T2,Hotelling T²,176.9162962962963,0.0,0.0,73.92185185185186,0.6666666666666666,18.98989898989899,False,5,4
isolation_forest,Iso. Forest,Isolation Forest,174.6940740740741,0.0,0.0,53.3662962962963,0.6666666666666666,19.7979797979798,False,6,4
ewma,EWMA,"EWMA (λ=0.2, k=3.0)",89.13296296296296,0.0,0.0,0.0,0.6666666666666666,21.010101010101007,False,7,4
three_sigma,3sigma,3σ Rule (σ=3.0),76.9774074074074,0.0,56.29962962962964,76.9774074074074,0.6666666666666666,8.88888888888889,True,8,1
cusum,CUSUM,"CUSUM (k=0.5, h=5.0)",65.03296296296297,0.0,0.0,65.03296296296297,0.6666666666666666,18.98989898989899,False,9,4
rms_trend,RMS-trend,RMS-Trend (kσ),34.74407407407407,34.74407407407407,34.74407407407407,34.74407407407407,0.3333333333333333,0.0,True,10,2
deep_svdd,Deep SVDD,Deep SVDD,14.84962962962963,14.84962962962963,14.84962962962963,14.84962962962963,0.6666666666666666,0.0,True,11,3
