dataset,short_name,gap,mean_valid_lead_h,draw_min_h,draw_max_h,n_valid_min,n_valid_max,n_scoreable_runs,published_mean_valid_lead_h
IMS,cusum,0.0,39.666666666666664,39.666666666666664,39.666666666666664,2,2,3,39.666666666666664
IMS,cusum,0.05,39.33333333333333,38.83333333333333,39.666666666666664,2,2,3,39.33333333333333
IMS,cusum,0.2,38.99999999999999,37.99999999999999,39.666666666666664,2,2,3,38.99999999999999
IMS,ewma,0.0,41.75,41.75,41.75,2,2,3,41.75
IMS,ewma,0.05,41.75,41.75,41.75,2,2,3,41.75
IMS,ewma,0.2,41.666666666666664,41.33333333333333,41.75,2,2,3,41.666666666666664
IMS,hotelling_t2,0.0,186.09166666666667,186.09166666666667,186.09166666666667,2,2,3,186.09166666666667
IMS,hotelling_t2,0.05,186.09166666666667,186.09166666666667,186.09166666666667,2,2,3,186.09166666666667
IMS,hotelling_t2,0.2,134.855,58.0,186.09166666666667,2,2,3,134.855
IMS,isolation_forest,0.0,54.66666666666666,54.66666666666666,54.66666666666666,2,2,3,54.66666666666666
IMS,isolation_forest,0.05,54.33333333333333,53.83333333333333,54.66666666666666,2,2,3,54.33333333333333
IMS,isolation_forest,0.2,53.75,53.41666666666666,54.66666666666666,2,2,3,53.75
IMS,three_sigma,0.0,42.58333333333333,42.58333333333333,42.58333333333333,2,2,3,42.58333333333333
IMS,three_sigma,0.05,42.75,42.58333333333333,43.0,2,2,3,42.75
IMS,three_sigma,0.2,43.416666666666664,42.58333333333333,45.91666666666667,2,2,3,43.416666666666664
XJTU-SY,cusum,0.0,1.3708333333333333,1.3708333333333333,1.3708333333333333,4,4,6,1.25
XJTU-SY,cusum,0.05,1.4883333333333333,1.3708333333333333,1.5666666666666667,3,4,6,1.2992261904761906
XJTU-SY,cusum,0.2,1.3091666666666666,1.2333333333333334,1.3708333333333333,4,5,6,1.2258333333333336
XJTU-SY,ewma,0.0,1.5944444444444443,1.5944444444444443,1.5944444444444443,3,3,6,1.3404761904761904
XJTU-SY,ewma,0.05,1.5538888888888889,1.3916666666666666,1.5944444444444443,3,4,6,1.3289285714285712
XJTU-SY,ewma,0.2,1.2794444444444444,0.7055555555555556,1.5666666666666667,3,4,6,1.2192857142857143
XJTU-SY,hotelling_t2,0.0,,,,0,0,6,1.1916666666666667
XJTU-SY,hotelling_t2,0.05,,,,0,0,6,1.1916666666666667
XJTU-SY,hotelling_t2,0.2,,,,0,0,6,1.1916666666666667
XJTU-SY,isolation_forest,0.0,0.675,0.675,0.675,2,2,6,1.1708333333333334
XJTU-SY,isolation_forest,0.05,0.675,0.675,0.675,2,2,6,1.1346666666666665
XJTU-SY,isolation_forest,0.2,0.6522222222222223,0.561111111111111,0.675,2,3,6,1.1045000000000003
XJTU-SY,three_sigma,0.0,0.675,0.675,0.675,2,2,6,1.0066666666666666
XJTU-SY,three_sigma,0.05,0.675,0.675,0.675,2,2,6,0.9814444444444443
XJTU-SY,three_sigma,0.2,0.6522222222222223,0.561111111111111,0.675,2,3,6,0.9658095238095237
