dataset,short_name,median_diff_h,n_effective,ref_median_diff_h,ref_n_effective,agrees
IMS,cusum,4.266666666666669,2,4.266666666666669,2,True
IMS,deep_svdd,0.0,1,0.0,1,True
IMS,ewma,2.1000000000000014,2,2.1000000000000014,2,True
IMS,hotelling_t2,3.5,2,3.5,2,True
IMS,isolation_forest,3.4333333333333336,2,3.4333333333333336,2,True
IMS,lstm_ae,0.0,0,0.0,0,True
IMS,one_class_svm,0.0,1,0.0,1,True
IMS,rms_trend,0.0,1,0.0,1,True
IMS,tcn,0.0,0,0.0,0,True
IMS,three_sigma,0.0,2,0.0,2,True
IMS,transformer_ad,0.0,0,0.0,0,True
XJTU-SY,cusum,0.0,1,0.0,1,True
XJTU-SY,deep_svdd,0.0,2,0.0,2,True
XJTU-SY,ewma,0.0,2,0.0,2,True
XJTU-SY,hotelling_t2,0.0,1,0.0,1,True
XJTU-SY,isolation_forest,0.0,4,0.0,4,True
XJTU-SY,lstm_ae,-0.125,1,-0.125,1,True
XJTU-SY,one_class_svm,0.0,0,0.0,0,True
XJTU-SY,rms_trend,0.0,2,0.0,2,True
XJTU-SY,tcn,0.0,0,0.0,0,True
XJTU-SY,three_sigma,0.0,1,0.0,1,True
XJTU-SY,transformer_ad,0.0,0,0.0,0,True
FEMTO,cusum,0.035555555555555556,3,0.0355555555555555,3,True
FEMTO,deep_svdd,-0.0038888888888888827,4,-0.0038888888888888,4,True
FEMTO,ewma,0.0075,3,0.0075,3,True
FEMTO,hotelling_t2,0.0,2,0.0,2,True
FEMTO,isolation_forest,0.12305555555555556,4,0.1230555555555555,4,True
FEMTO,lstm_ae,0.0,2,0.0,2,True
FEMTO,one_class_svm,0.0,2,0.0,2,True
FEMTO,rms_trend,-0.022222222222222227,4,-0.0222222222222222,4,True
FEMTO,tcn,0.0,1,0.0,1,True
FEMTO,three_sigma,0.0,4,0.0,4,True
FEMTO,transformer_ad,0.0,2,0.0,2,True
Ferrara,cusum,-0.018055555555555547,5,-0.0180555555555555,5,True
Ferrara,deep_svdd,-0.001388888888888884,4,-0.0013888888888888,4,True
Ferrara,ewma,-0.025277777777777788,5,-0.0252777777777777,5,True
Ferrara,hotelling_t2,0.0,3,0.0,3,True
Ferrara,isolation_forest,-0.0175,4,-0.0175,4,True
Ferrara,lstm_ae,0.0,2,0.0,2,True
Ferrara,one_class_svm,0.0,2,0.0,2,True
Ferrara,rms_trend,0.015555555555555559,5,0.0155555555555555,5,True
Ferrara,tcn,0.0,2,0.0,2,True
Ferrara,three_sigma,-0.0475,5,-0.0475,5,True
Ferrara,transformer_ad,0.0,3,0.0,3,True
