persistence,short_name,valid_frac_f1,n_valid_f1,n_scoreable_f1,valid_frac_all_factors,n_valid_all,n_scoreable_all,published_valid_frac_all
1,cusum,0.6666666666666666,2,3,0.6153846153846154,8,13,0.6666666666666666
1,ewma,0.6666666666666666,2,3,0.6153846153846154,8,13,0.6666666666666666
1,hotelling_t2,0.6666666666666666,2,3,0.5384615384615384,7,13,0.6
1,isolation_forest,0.6666666666666666,2,3,0.6153846153846154,8,13,0.6666666666666666
1,rms_trend,1.0,3,3,0.9230769230769231,12,13,0.9333333333333333
1,three_sigma,0.6666666666666666,2,3,0.6153846153846154,8,13,0.6666666666666666
3,cusum,0.6666666666666666,2,3,0.6153846153846154,8,13,0.6666666666666666
3,ewma,0.6666666666666666,2,3,0.6153846153846154,8,13,0.6666666666666666
3,hotelling_t2,0.6666666666666666,2,3,0.5384615384615384,7,13,0.6
3,isolation_forest,0.6666666666666666,2,3,0.6153846153846154,8,13,0.6
3,rms_trend,0.3333333333333333,1,3,0.23076923076923078,3,13,0.2
3,three_sigma,0.6666666666666666,2,3,0.6153846153846154,8,13,0.6666666666666666
5,cusum,0.6666666666666666,2,3,0.46153846153846156,6,13,0.4666666666666667
5,ewma,0.6666666666666666,2,3,0.46153846153846156,6,13,0.4666666666666667
5,hotelling_t2,0.6666666666666666,2,3,0.5384615384615384,7,13,0.5333333333333333
5,isolation_forest,0.6666666666666666,2,3,0.46153846153846156,6,13,0.4666666666666667
5,rms_trend,0.3333333333333333,1,3,0.07692307692307693,1,13,0.06666666666666667
5,three_sigma,0.6666666666666666,2,3,0.5384615384615384,7,13,0.5333333333333333
10,cusum,0.6666666666666666,2,3,0.38461538461538464,5,13,0.3333333333333333
10,ewma,0.6666666666666666,2,3,0.38461538461538464,5,13,0.3333333333333333
10,hotelling_t2,0.6666666666666666,2,3,0.46153846153846156,6,13,0.4
10,isolation_forest,0.6666666666666666,2,3,0.3076923076923077,4,13,0.26666666666666666
10,rms_trend,0.0,0,3,0.0,0,13,0.0
10,three_sigma,0.6666666666666666,2,3,0.38461538461538464,5,13,0.3333333333333333
