dataset,group,factor,method,short_name,valid_frac,lead_time_hours_mean,far_preonset_pct_mean,n_runs
IMS,all,1,3σ Rule (σ=3.0),three_sigma,0.3333333333333333,73.64407407407407,52.121212121212125,3
IMS,all,1,"EWMA (λ=0.2, k=3.0)",ewma,0.3333333333333333,72.81074074074074,52.121212121212125,3
IMS,all,1,Isolation Forest,isolation_forest,0.6666666666666666,70.8662962962963,20.606060606060606,3
IMS,all,2,3σ Rule (σ=3.0),three_sigma,0.3333333333333333,73.5774074074074,36.41975308641975,3
IMS,all,2,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,68.02185185185185,19.753086419753085,3
IMS,all,2,Isolation Forest,isolation_forest,0.6666666666666666,74.13296296296296,11.551639745472343,3
IMS,all,5,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,70.02185185185185,33.333333333333336,3
IMS,all,5,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,73.91074074074074,16.666666666666668,3
IMS,all,5,Isolation Forest,isolation_forest,0.6666666666666666,26.244444444444444,0.0,3
IMS,all,10,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,87.24407407407408,34.090909090909086,3
IMS,all,10,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,79.4662962962963,33.333333333333336,3
IMS,all,10,Isolation Forest,isolation_forest,0.3333333333333333,10.9,0.0,3
IMS,all,20,3σ Rule (σ=3.0),three_sigma,1.0,84.46629629629629,2.1739130434782608,3
IMS,all,20,"EWMA (λ=0.2, k=3.0)",ewma,1.0,78.91074074074074,0.0,3
IMS,all,20,Isolation Forest,isolation_forest,0.0,0.0,0.0,3
IMS,rms_only,1,3σ Rule (σ=3.0),three_sigma,1.0,32.294074074074075,0.0,3
IMS,rms_only,1,"EWMA (λ=0.2, k=3.0)",ewma,1.0,34.5162962962963,0.0,3
IMS,rms_only,1,Isolation Forest,isolation_forest,1.0,31.960740740740743,0.20202020202020202,3
IMS,rms_only,2,3σ Rule (σ=3.0),three_sigma,1.0,33.4662962962963,0.4115226337448559,3
IMS,rms_only,2,"EWMA (λ=0.2, k=3.0)",ewma,1.0,41.24407407407407,0.4115226337448559,3
IMS,rms_only,2,Isolation Forest,isolation_forest,1.0,33.4662962962963,0.4115226337448559,3
IMS,rms_only,5,3σ Rule (σ=3.0),three_sigma,0.3333333333333333,35.96666666666666,16.666666666666668,3
IMS,rms_only,5,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,37.355555555555554,0.0,3
IMS,rms_only,5,Isolation Forest,isolation_forest,0.6666666666666666,26.244444444444444,0.0,3
IMS,rms_only,10,3σ Rule (σ=3.0),three_sigma,0.3333333333333333,48.46666666666667,34.090909090909086,3
IMS,rms_only,10,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,70.5774074074074,33.333333333333336,3
IMS,rms_only,10,Isolation Forest,isolation_forest,0.3333333333333333,24.233333333333334,0.7575757575757577,3
IMS,rms_only,20,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,43.46666666666666,2.1739130434782608,3
IMS,rms_only,20,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,37.911111111111104,0.0,3
IMS,rms_only,20,Isolation Forest,isolation_forest,0.6666666666666666,32.355555555555554,0.0,3
IMS,spectral_only,1,3σ Rule (σ=3.0),three_sigma,0.3333333333333333,75.8662962962963,53.73737373737373,3
IMS,spectral_only,1,"EWMA (λ=0.2, k=3.0)",ewma,0.3333333333333333,75.31074074074074,53.73737373737373,3
IMS,spectral_only,1,Isolation Forest,isolation_forest,0.6666666666666666,70.58851851851851,23.434343434343432,3
IMS,spectral_only,2,3σ Rule (σ=3.0),three_sigma,0.3333333333333333,75.24407407407408,37.65432098765432,3
IMS,spectral_only,2,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,71.91074074074074,20.987654320987655,3
IMS,spectral_only,2,Isolation Forest,isolation_forest,0.6666666666666666,65.24407407407408,18.930041152263374,3
IMS,spectral_only,5,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,78.91074074074074,36.11111111111111,3
IMS,spectral_only,5,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,76.6885185185185,33.333333333333336,3
IMS,spectral_only,5,Isolation Forest,isolation_forest,0.6666666666666666,26.244444444444444,0.0,3
IMS,spectral_only,10,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,85.5774074074074,33.333333333333336,3
IMS,spectral_only,10,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,82.79962962962964,33.333333333333336,3
IMS,spectral_only,10,Isolation Forest,isolation_forest,0.3333333333333333,10.9,0.0,3
IMS,spectral_only,20,3σ Rule (σ=3.0),three_sigma,1.0,78.91074074074074,0.0,3
IMS,spectral_only,20,"EWMA (λ=0.2, k=3.0)",ewma,1.0,78.91074074074074,0.0,3
IMS,spectral_only,20,Isolation Forest,isolation_forest,0.0,0.0,0.0,3
IMS,time_only,1,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,56.57740740740741,3.8383838383838387,3
IMS,time_only,1,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,57.96629629629629,16.161616161616163,3
IMS,time_only,1,Isolation Forest,isolation_forest,0.6666666666666666,63.3662962962963,18.787878787878785,3
IMS,time_only,2,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,66.24407407407408,18.106995884773664,3
IMS,time_only,2,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,61.799629629629635,18.51851851851852,3
IMS,time_only,2,Isolation Forest,isolation_forest,0.6666666666666666,73.5774074074074,18.13600188539004,3
IMS,time_only,5,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,33.18888888888889,0.0,3
IMS,time_only,5,"EWMA (λ=0.2, k=3.0)",ewma,1.0,64.46629629629629,0.0,3
IMS,time_only,5,Isolation Forest,isolation_forest,0.6666666666666666,26.244444444444444,0.0,3
IMS,time_only,10,3σ Rule (σ=3.0),three_sigma,0.6666666666666666,81.13296296296296,34.090909090909086,3
IMS,time_only,10,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,78.91074074074074,33.333333333333336,3
IMS,time_only,10,Isolation Forest,isolation_forest,0.3333333333333333,13.677777777777777,0.0,3
IMS,time_only,20,3σ Rule (σ=3.0),three_sigma,1.0,78.91074074074074,2.1739130434782608,3
IMS,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,1.0,73.35518518518519,0.0,3
IMS,time_only,20,Isolation Forest,isolation_forest,0.6666666666666666,32.355555555555554,0.0,3
