dataset,run,factor,group,n_features,method,short_name,lead_time_hours,far_preonset_pct,valid_alarm
IMS,1st_test,1,rms_only,8,3σ Rule (σ=3.0),three_sigma,12.54888888888889,0.0,True
IMS,1st_test,1,rms_only,8,"EWMA (λ=0.2, k=3.0)",ewma,12.54888888888889,0.0,True
IMS,1st_test,1,rms_only,8,Isolation Forest,isolation_forest,24.04888888888889,0.6060606060606061,True
IMS,1st_test,1,time_only,20,3σ Rule (σ=3.0),three_sigma,93.73222222222222,11.515151515151516,False
IMS,1st_test,1,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,97.89888888888889,48.484848484848484,False
IMS,1st_test,1,time_only,20,Isolation Forest,isolation_forest,113.26555555555555,56.36363636363636,False
IMS,1st_test,1,spectral_only,30,3σ Rule (σ=3.0),three_sigma,119.93222222222222,61.212121212121204,False
IMS,1st_test,1,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,119.93222222222222,61.212121212121204,False
IMS,1st_test,1,spectral_only,30,Isolation Forest,isolation_forest,130.76555555555555,70.3030303030303,False
IMS,1st_test,1,all,50,3σ Rule (σ=3.0),three_sigma,113.26555555555555,56.36363636363636,False
IMS,1st_test,1,all,50,"EWMA (λ=0.2, k=3.0)",ewma,113.26555555555555,56.36363636363636,False
IMS,1st_test,1,all,50,Isolation Forest,isolation_forest,123.26555555555555,61.81818181818181,False
IMS,1st_test,2,rms_only,8,3σ Rule (σ=3.0),three_sigma,23.99888888888889,1.2345679012345678,True
IMS,1st_test,2,rms_only,8,"EWMA (λ=0.2, k=3.0)",ewma,23.99888888888889,1.2345679012345678,True
IMS,1st_test,2,rms_only,8,Isolation Forest,isolation_forest,23.99888888888889,1.2345679012345678,True
IMS,1st_test,2,time_only,20,3σ Rule (σ=3.0),three_sigma,108.99888888888889,54.32098765432099,False
IMS,1st_test,2,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,107.33222222222223,55.55555555555556,False
IMS,1st_test,2,time_only,20,Isolation Forest,isolation_forest,112.66555555555556,53.086419753086425,False
IMS,1st_test,2,spectral_only,30,3σ Rule (σ=3.0),three_sigma,119.33222222222223,62.96296296296296,False
IMS,1st_test,2,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,119.33222222222223,62.96296296296296,False
IMS,1st_test,2,spectral_only,30,Isolation Forest,isolation_forest,112.66555555555556,56.79012345679012,False
IMS,1st_test,2,all,50,3σ Rule (σ=3.0),three_sigma,114.33222222222223,59.25925925925925,False
IMS,1st_test,2,all,50,"EWMA (λ=0.2, k=3.0)",ewma,114.33222222222223,59.25925925925925,False
IMS,1st_test,2,all,50,Isolation Forest,isolation_forest,112.66555555555556,33.33333333333333,False
IMS,1st_test,5,rms_only,8,3σ Rule (σ=3.0),three_sigma,0.0,0.0,False
IMS,1st_test,5,rms_only,8,"EWMA (λ=0.2, k=3.0)",ewma,0.0,0.0,False
IMS,1st_test,5,rms_only,8,Isolation Forest,isolation_forest,0.0,0.0,False
IMS,1st_test,5,time_only,20,3σ Rule (σ=3.0),three_sigma,0.0,0.0,False
IMS,1st_test,5,time_only,20,"EWMA (λ=0.2, k=3.0)",ewma,97.99888888888889,0.0,True
IMS,1st_test,5,time_only,20,Isolation Forest,isolation_forest,0.0,0.0,False
IMS,1st_test,5,spectral_only,30,3σ Rule (σ=3.0),three_sigma,124.66555555555556,8.333333333333332,True
IMS,1st_test,5,spectral_only,30,"EWMA (λ=0.2, k=3.0)",ewma,117.99888888888889,0.0,True
IMS,1st_test,5,spectral_only,30,Isolation Forest,isolation_forest,0.0,0.0,False
IMS,1st_test,5,all,50,3σ Rule (σ=3.0),three_sigma,97.99888888888889,0.0,True
IMS,1st_test,5,all,50,"EWMA (λ=0.2, k=3.0)",ewma,113.83222222222223,0.0,True
IMS,1st_test,5,all,50,Isolation Forest,isolation_forest,0.0,0.0,False
IMS,1st_test,10,rms_only,8,3σ Rule (σ=3.0),three_sigma,0.0,0.0,False
IMS,1st_test,10,rms_only,8,"EWMA (λ=0.2, k=3.0)",ewma,81.33222222222223,0.0,True
