dataset,method,n_runs,mean_diff_h,ci_lo_h,ci_hi_h,delta_h,verdict,ci_width_h
"IMS (published, legacy 445-dim)",3σ Rule (σ=3.0),3,20.382148148148143,15.633333333333333,27.079777777777764,1.0,aggregate superior beyond margin,11.446444444444431
"IMS (published, legacy 445-dim)","CUSUM (k=0.5, h=5.0)",3,11.0,5.0,22.566666666666663,1.0,aggregate superior beyond margin,17.566666666666663
"IMS (published, legacy 445-dim)",Deep SVDD,3,5.671037037037036,0.0,15.246444444444442,1.0,inconclusive,15.246444444444442
"IMS (published, legacy 445-dim)","EWMA (λ=0.2, k=3.0)",3,11.111111111111105,5.0,22.56666666666665,1.0,aggregate superior beyond margin,17.56666666666665
"IMS (published, legacy 445-dim)",Hotelling T²,3,6.7066666666666634,3.2533333333333303,12.266666666666659,1.0,aggregate superior beyond margin,9.013333333333328
"IMS (published, legacy 445-dim)",Isolation Forest,3,11.303259259259264,1.7666666666666693,19.943111111111122,1.0,aggregate superior beyond margin,18.176444444444453
"IMS (published, legacy 445-dim)",LSTM-Autoencoder,3,-1.157407407407419,-1.6666666666666856,-0.4166666666666572,1.0,inconclusive,1.2500000000000284
"IMS (published, legacy 445-dim)",RMS-Trend (kσ),3,-5.548814814814814,-19.413111111111107,2.766666666666667,1.0,inconclusive,22.179777777777772
"IMS (published, legacy 445-dim)",TCN-Autoencoder,3,-0.657407407407419,-1.3888888888889142,-0.16666666666668561,1.0,inconclusive,1.2222222222222285
"IMS (published, legacy 445-dim)",Transformer-AD,3,-1.4351851851851904,-2.5,-0.4166666666666572,1.0,inconclusive,2.083333333333343
"IMS (invariant re-baseline, D-2)",3σ Rule (σ=3.0),3,13.304370370370366,-1.000000000000007,25.813111111111112,1.0,inconclusive,26.81311111111112
"IMS (invariant re-baseline, D-2)","CUSUM (k=0.5, h=5.0)",3,4.3622222222222256,4.153333333333336,4.666666666666671,1.0,aggregate superior beyond margin,0.5133333333333354
"IMS (invariant re-baseline, D-2)",Deep SVDD,3,2.9765925925925933,0.0,8.92977777777778,1.0,inconclusive,8.92977777777778
"IMS (invariant re-baseline, D-2)","EWMA (λ=0.2, k=3.0)",3,0.8488888888888914,-3.886666666666656,4.333333333333329,1.0,inconclusive,8.219999999999985
"IMS (invariant re-baseline, D-2)",Hotelling T²,3,27.96777777777777,1.0,81.73666666666665,1.0,aggregate superior beyond margin,80.73666666666665
"IMS (invariant re-baseline, D-2)",Isolation Forest,3,6.544444444444447,-0.6666666666666572,16.866666666666664,1.0,inconclusive,17.53333333333332
"IMS (invariant re-baseline, D-2)",LSTM-Autoencoder,3,18.106481481481477,-1.3888888888889142,56.125,1.0,inconclusive,57.513888888888914
"IMS (invariant re-baseline, D-2)",RMS-Trend (kσ),3,0.733333333333333,-0.16666666666666785,2.3666666666666667,1.0,inconclusive,2.5333333333333345
"IMS (invariant re-baseline, D-2)",TCN-Autoencoder,3,2.398148148148143,-1.3888888888889142,9.0,1.0,inconclusive,10.388888888888914
