table,tex_line,dataset,short_name,field,printed,dp,old,old_matches_print,new,new_matches_print,moves
tab:femto,438,FEMTO,three_sigma,median_diff_h,-0.1,2,-0.09861111111111118,True,-0.13861111111111116,False,True
tab:femto,438,FEMTO,three_sigma,n_pos,1.0,0,1.0,True,1.0,True,False
tab:femto,438,FEMTO,three_sigma,n_neg,5.0,0,5.0,True,5.0,True,False
tab:femto,438,FEMTO,three_sigma,sign_test_p,0.219,3,0.21875,True,0.21875,True,False
tab:femto,439,FEMTO,ewma,median_diff_h,0.01,2,0.008333333333333345,True,0.09305555555555553,False,True
tab:femto,439,FEMTO,ewma,n_pos,3.0,0,3.0,True,4.0,False,True
tab:femto,439,FEMTO,ewma,n_neg,3.0,0,3.0,True,2.0,False,True
tab:femto,439,FEMTO,ewma,sign_test_p,1.0,3,1.0,True,0.6875,False,True
tab:femto,440,FEMTO,cusum,median_diff_h,0.0,2,0.0013888888888889117,True,0.10083333333333339,False,True
tab:femto,440,FEMTO,cusum,n_pos,3.0,0,3.0,True,4.0,False,True
tab:femto,440,FEMTO,cusum,n_neg,3.0,0,3.0,True,2.0,False,True
tab:femto,440,FEMTO,cusum,sign_test_p,1.0,3,1.0,True,0.6875,False,True
tab:femto,441,FEMTO,hotelling_t2,median_diff_h,0.07,2,0.06944444444444448,True,0.07138888888888892,True,False
tab:femto,441,FEMTO,hotelling_t2,n_pos,5.0,0,5.0,True,5.0,True,False
tab:femto,441,FEMTO,hotelling_t2,n_neg,1.0,0,1.0,True,1.0,True,False
tab:femto,441,FEMTO,hotelling_t2,sign_test_p,0.219,3,0.21875,True,0.21875,True,False
tab:femto,442,FEMTO,isolation_forest,median_diff_h,-0.14,2,-0.1366666666666666,True,-0.065,False,True
tab:femto,442,FEMTO,isolation_forest,n_pos,0.0,0,0.0,True,2.0,False,True
tab:femto,442,FEMTO,isolation_forest,n_neg,6.0,0,6.0,True,4.0,False,True
tab:femto,442,FEMTO,isolation_forest,sign_test_p,0.031,3,0.03125,True,0.6875,False,True
tab:femto,443,FEMTO,deep_svdd,median_diff_h,-0.0,2,-0.0033333333333333288,True,-0.0038888888888888827,True,False
tab:femto,443,FEMTO,deep_svdd,n_pos,3.0,0,3.0,True,1.0,False,True
tab:femto,443,FEMTO,deep_svdd,n_neg,3.0,0,3.0,True,3.0,True,False
tab:femto,443,FEMTO,deep_svdd,sign_test_p,1.0,3,1.0,True,0.625,False,True
tab:femto,444,FEMTO,lstm_ae,median_diff_h,-0.05,2,-0.04902777777777778,True,-0.040277777777777746,False,True
tab:femto,444,FEMTO,lstm_ae,n_pos,2.0,0,2.0,True,0.0,False,True
tab:femto,444,FEMTO,lstm_ae,n_neg,4.0,0,4.0,True,3.0,False,True
tab:femto,444,FEMTO,lstm_ae,sign_test_p,0.688,3,0.6875,True,0.25,False,True
tab:femto,445,FEMTO,tcn,median_diff_h,0.0,2,0.0011111111111112293,True,0.0,True,False
