key,present_both,identical
IMS|1st_test|aggregate|1,True,True
IMS|1st_test|aggregate|10,True,True
IMS|1st_test|aggregate|2,True,True
IMS|1st_test|aggregate|20,True,True
IMS|1st_test|aggregate|5,True,True
IMS|1st_test|decimate|10,True,True
IMS|1st_test|decimate|2,True,True
IMS|1st_test|decimate|20,True,True
IMS|1st_test|decimate|5,True,True
IMS|2nd_test|aggregate|1,True,True
IMS|2nd_test|aggregate|10,True,True
IMS|2nd_test|aggregate|2,True,True
IMS|2nd_test|aggregate|20,True,True
IMS|2nd_test|aggregate|5,True,True
IMS|2nd_test|decimate|10,True,True
IMS|2nd_test|decimate|2,True,True
IMS|2nd_test|decimate|20,True,True
IMS|2nd_test|decimate|5,True,True
IMS|3rd_test|aggregate|1,True,True
IMS|3rd_test|aggregate|10,True,True
IMS|3rd_test|aggregate|2,True,True
IMS|3rd_test|aggregate|20,True,True
IMS|3rd_test|aggregate|5,True,True
IMS|3rd_test|decimate|10,True,True
IMS|3rd_test|decimate|2,True,True
IMS|3rd_test|decimate|20,True,True
IMS|3rd_test|decimate|5,True,True
XJTU-SY|Bearing1_1|aggregate|1,True,True
XJTU-SY|Bearing1_1|aggregate|10,True,True
XJTU-SY|Bearing1_1|aggregate|2,True,True
XJTU-SY|Bearing1_1|aggregate|20,True,True
XJTU-SY|Bearing1_1|aggregate|5,True,True
XJTU-SY|Bearing1_1|decimate|10,True,True
XJTU-SY|Bearing1_1|decimate|2,True,True
XJTU-SY|Bearing1_1|decimate|20,True,True
XJTU-SY|Bearing1_1|decimate|5,True,True
XJTU-SY|Bearing1_2|aggregate|1,True,True
XJTU-SY|Bearing1_2|aggregate|10,True,True
XJTU-SY|Bearing1_2|aggregate|2,True,True
XJTU-SY|Bearing1_2|aggregate|20,True,True
XJTU-SY|Bearing1_2|aggregate|5,True,True
XJTU-SY|Bearing1_2|decimate|10,True,True
XJTU-SY|Bearing1_2|decimate|2,True,True
XJTU-SY|Bearing1_2|decimate|20,True,True
XJTU-SY|Bearing1_2|decimate|5,True,True
XJTU-SY|Bearing1_3|aggregate|1,True,True
XJTU-SY|Bearing1_3|aggregate|10,True,True
XJTU-SY|Bearing1_3|aggregate|2,True,True
XJTU-SY|Bearing1_3|aggregate|20,True,True
XJTU-SY|Bearing1_3|aggregate|5,True,True
XJTU-SY|Bearing1_3|decimate|10,True,True
XJTU-SY|Bearing1_3|decimate|2,True,True
XJTU-SY|Bearing1_3|decimate|20,True,True
XJTU-SY|Bearing1_3|decimate|5,True,True
XJTU-SY|Bearing1_4|aggregate|1,True,True
XJTU-SY|Bearing1_4|aggregate|10,True,True
XJTU-SY|Bearing1_4|aggregate|2,True,True
XJTU-SY|Bearing1_4|aggregate|20,True,True
XJTU-SY|Bearing1_4|aggregate|5,True,True
XJTU-SY|Bearing1_4|decimate|10,True,True
XJTU-SY|Bearing1_4|decimate|2,True,True
XJTU-SY|Bearing1_4|decimate|20,True,True
XJTU-SY|Bearing1_4|decimate|5,True,True
XJTU-SY|Bearing1_5|aggregate|1,True,True
XJTU-SY|Bearing1_5|aggregate|10,True,True
XJTU-SY|Bearing1_5|aggregate|2,True,True
XJTU-SY|Bearing1_5|aggregate|20,True,True
XJTU-SY|Bearing1_5|aggregate|5,True,True
