dataset,run,seed,method,short_name,mode,factor,effective_interval_min,t_onset,t_fail,max_lead_hours,lead_time_hours,detection_delay_hours,far_preonset_pct,lead_norm,vlt_legacy_hours,far_legacy_pct,valid_alarm,n_test_windows,window_rows,persistence_windows,window_floored,control,onset_method
Ferrara,E1,42,RMS-Trend (kσ),rms_trend,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.03611111111111111,0.04722222222222222,0.0,0.4333333333333333,0.03611111111111111,0.0,True,393,10,3,False,False,terminal
Ferrara,E1,42,3σ Rule (σ=3.0),three_sigma,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.08472222222222223,,0.2617801047120419,1.0166666666666668,0.08472222222222223,0.0,True,393,10,3,False,False,terminal
Ferrara,E1,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.08472222222222223,,0.2617801047120419,1.0166666666666668,0.08472222222222223,0.0,True,393,10,3,False,False,terminal
Ferrara,E1,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.07083333333333333,0.0125,0.0,0.85,0.07083333333333333,0.0,True,393,10,3,False,False,terminal
Ferrara,E1,42,Hotelling T²,hotelling_t2,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.08472222222222223,,0.2617801047120419,1.0166666666666668,0.08472222222222223,0.0,True,393,10,3,False,False,terminal
Ferrara,E1,42,Isolation Forest,isolation_forest,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.08472222222222223,,0.2617801047120419,1.0166666666666668,0.08472222222222223,0.0,True,393,10,3,False,False,terminal
Ferrara,E1,42,Deep SVDD,deep_svdd,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.0,,0.0,0.0,0.0,0.0,False,393,10,3,False,False,terminal
Ferrara,E1,42,LSTM-Autoencoder,lstm_ae,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,2.286111111111111,,8.115183246073299,27.433333333333334,2.286111111111111,0.0,True,393,10,3,False,False,terminal
Ferrara,E1,42,TCN-Autoencoder,tcn,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,2.2930555555555556,,30.36649214659686,27.51666666666667,2.2930555555555556,0.0,False,393,10,3,False,False,terminal
Ferrara,E1,42,Transformer-AD,transformer_ad,aggregate,1,0.08,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,2.286111111111111,,4.18848167539267,27.433333333333334,2.286111111111111,0.0,True,393,10,3,False,False,terminal
Ferrara,E1,42,RMS-Trend (kσ),rms_trend,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.03888888888888889,0.044444444444444446,0.0,0.4666666666666667,0.03888888888888889,0.0,True,492,5,4,False,False,terminal
Ferrara,E1,42,3σ Rule (σ=3.0),three_sigma,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.08888888888888889,,0.20964360587002098,1.0666666666666669,0.08888888888888889,0.0,True,492,5,4,False,False,terminal
Ferrara,E1,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.08888888888888889,,0.20964360587002098,1.0666666666666669,0.08888888888888889,0.0,True,492,5,4,False,False,terminal
Ferrara,E1,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.07222222222222222,0.011111111111111112,0.0,0.8666666666666666,0.07222222222222222,0.0,True,492,5,4,False,False,terminal
Ferrara,E1,42,Hotelling T²,hotelling_t2,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.08888888888888889,,0.20964360587002098,1.0666666666666669,0.08888888888888889,0.0,True,492,5,4,False,False,terminal
Ferrara,E1,42,Isolation Forest,isolation_forest,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.08888888888888889,,0.20964360587002098,1.0666666666666669,0.08888888888888889,0.0,True,492,5,4,False,False,terminal
Ferrara,E1,42,Deep SVDD,deep_svdd,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,0.0,,0.0,0.0,0.0,0.0,False,492,5,4,False,False,terminal
Ferrara,E1,42,LSTM-Autoencoder,lstm_ae,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,2.2944444444444443,,12.368972746331238,27.53333333333333,2.2944444444444443,0.0,False,492,5,4,False,False,terminal
Ferrara,E1,42,TCN-Autoencoder,tcn,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,2.327777777777778,,27.253668763102723,27.933333333333337,2.327777777777778,0.0,False,492,5,4,False,False,terminal
Ferrara,E1,42,Transformer-AD,transformer_ad,aggregate,2,0.17,2024-01-01 06:44:40,2024-01-01 06:49:40,0.08,2.2944444444444443,,15.723270440251572,27.53333333333333,2.2944444444444443,0.0,False,492,5,4,False,False,terminal
