run,kind,method,sigma_k,onset,onset_pct,max_lead_hours,run_span_hours
1st_test,rms_mean,terminal,3.0,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,827.5655555555555
1st_test,rms_mean,terminal,4.0,2003-11-25 11:17:00,98.50377747852134,12.382222222222222,827.5655555555555
1st_test,rms_mean,terminal,5.0,2003-11-25 12:17:00,98.62461382716911,11.382222222222222,827.5655555555555
1st_test,rms_mean,sigma,3.0,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,827.5655555555555
1st_test,rms_mean,sigma,4.0,2003-11-25 11:17:00,98.50377747852134,12.382222222222222,827.5655555555555
1st_test,rms_mean,sigma,5.0,2003-11-25 12:17:00,98.62461382716911,11.382222222222222,827.5655555555555
1st_test,rms_mean,cusum,3.0,2003-11-17 14:12:00,75.65563788837139,201.46555555555557,827.5655555555555
1st_test,rms_mean,cusum,4.0,2003-11-17 14:12:00,75.65563788837139,201.46555555555557,827.5655555555555
1st_test,rms_mean,cusum,5.0,2003-11-17 14:12:00,75.65563788837139,201.46555555555557,827.5655555555555
1st_test,rms_max,terminal,3.0,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,827.5655555555555
1st_test,rms_max,terminal,4.0,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,827.5655555555555
1st_test,rms_max,terminal,5.0,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,827.5655555555555
1st_test,rms_max,sigma,3.0,2003-11-22 01:56:00,88.6737405160249,93.73222222222222,827.5655555555555
1st_test,rms_max,sigma,4.0,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,827.5655555555555
1st_test,rms_max,sigma,5.0,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,827.5655555555555
1st_test,rms_max,cusum,3.0,2003-10-23 10:14:00,2.6745111834040673,805.4322222222222,827.5655555555555
1st_test,rms_max,cusum,4.0,2003-10-23 10:14:00,2.6745111834040673,805.4322222222222,827.5655555555555
1st_test,rms_max,cusum,5.0,2003-10-23 10:14:00,2.6745111834040673,805.4322222222222,827.5655555555555
1st_test,rms_kurt,terminal,3.0,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,827.5655555555555
1st_test,rms_kurt,terminal,4.0,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,827.5655555555555
1st_test,rms_kurt,terminal,5.0,2003-11-25 10:57:00,98.46349869563875,12.715555555555556,827.5655555555555
1st_test,rms_kurt,sigma,3.0,2003-11-19 19:06:00,82.04788073183863,148.56555555555556,827.5655555555555
1st_test,rms_kurt,sigma,4.0,2003-11-19 19:16:00,82.06802012327992,148.39888888888888,827.5655555555555
1st_test,rms_kurt,sigma,5.0,2003-11-20 20:39:00,85.13524943978926,123.01555555555555,827.5655555555555
1st_test,rms_kurt,cusum,3.0,2003-10-31 02:39:00,24.958747813197746,621.0155555555556,827.5655555555555
1st_test,rms_kurt,cusum,4.0,2003-10-31 02:39:00,24.958747813197746,621.0155555555556,827.5655555555555
1st_test,rms_kurt,cusum,5.0,2003-10-31 02:39:00,24.958747813197746,621.0155555555556,827.5655555555555
1st_test,pca1,terminal,3.0,2003-11-25 11:27:00,98.52391686996263,12.215555555555556,827.5655555555555
1st_test,pca1,terminal,4.0,2003-11-25 12:57:00,98.70517139293429,10.715555555555556,827.5655555555555
1st_test,pca1,terminal,5.0,2003-11-25 14:07:00,98.84614713302336,9.54888888888889,827.5655555555555
1st_test,pca1,sigma,3.0,2003-11-25 11:27:00,98.52391686996263,12.215555555555556,827.5655555555555
1st_test,pca1,sigma,4.0,2003-11-25 12:57:00,98.70517139293429,10.715555555555556,827.5655555555555
1st_test,pca1,sigma,5.0,2003-11-25 14:37:00,98.90656530734725,9.04888888888889,827.5655555555555
1st_test,pca1,cusum,3.0,2003-10-29 15:29:00,20.709336219084356,656.1822222222222,827.5655555555555
1st_test,pca1,cusum,4.0,2003-10-29 15:29:00,20.709336219084356,656.1822222222222,827.5655555555555
1st_test,pca1,cusum,5.0,2003-10-29 15:29:00,20.709336219084356,656.1822222222222,827.5655555555555
2nd_test,rms_mean,terminal,3.0,2004-02-16 10:22:00,58.49440488301119,68.0,163.83333333333334
2nd_test,rms_mean,terminal,4.0,2004-02-16 15:52:00,61.85147507629705,62.5,163.83333333333334
2nd_test,rms_mean,terminal,5.0,2004-02-16 22:22:00,65.81892166836215,56.0,163.83333333333334
2nd_test,rms_mean,sigma,3.0,2004-02-16 15:42:00,61.74974567650051,62.666666666666664,163.83333333333334
2nd_test,rms_mean,sigma,4.0,2004-02-16 21:52:00,65.51373346897253,56.5,163.83333333333334
2nd_test,rms_mean,sigma,5.0,2004-02-16 22:22:00,65.81892166836215,56.0,163.83333333333334
2nd_test,rms_mean,cusum,3.0,2004-02-12 10:42:00,0.1017293997965412,163.66666666666666,163.83333333333334
2nd_test,rms_mean,cusum,4.0,2004-02-12 10:42:00,0.1017293997965412,163.66666666666666,163.83333333333334
2nd_test,rms_mean,cusum,5.0,2004-02-12 10:42:00,0.1017293997965412,163.66666666666666,163.83333333333334
2nd_test,rms_max,terminal,3.0,2004-02-18 01:02:00,82.09562563580874,29.333333333333332,163.83333333333334
2nd_test,rms_max,terminal,4.0,2004-02-18 03:12:00,83.41810783316379,27.166666666666668,163.83333333333334
2nd_test,rms_max,terminal,5.0,2004-02-18 03:42:00,83.7232960325534,26.666666666666668,163.83333333333334
2nd_test,rms_max,sigma,3.0,2004-02-17 07:02:00,71.1088504577823,47.333333333333336,163.83333333333334
2nd_test,rms_max,sigma,4.0,2004-02-17 07:12:00,71.21057985757884,47.166666666666664,163.83333333333334
2nd_test,rms_max,sigma,5.0,2004-02-17 07:22:00,71.31230925737538,47.0,163.83333333333334
2nd_test,rms_max,cusum,3.0,2004-02-12 10:32:00,0.0,163.83333333333334,163.83333333333334
