persistence,detector,median_agg_minus_dec_h,n_pos,n_neg,valid_frac_f1_agg
1,cusum,5.0,3,0,1.0
1,ewma,5.17,3,0,1.0
1,hotelling_t2,25.62,3,0,0.67
1,isolation_forest,10.43,3,0,0.67
1,rms_trend,-3.67,1,2,1.0
1,three_sigma,4.17,3,0,1.0
3,cusum,5.43,3,0,1.0
3,ewma,5.77,3,0,1.0
3,hotelling_t2,4.6,3,0,1.0
3,isolation_forest,12.2,3,0,1.0
3,rms_trend,0.0,1,1,0.67
3,three_sigma,18.43,3,0,1.0
5,cusum,4.83,3,0,1.0
5,ewma,4.83,3,0,1.0
5,hotelling_t2,2.83,3,0,1.0
5,isolation_forest,-0.83,1,2,1.0
5,rms_trend,0.0,1,1,0.67
5,three_sigma,17.43,3,0,1.0
10,cusum,3.0,3,0,1.0
10,ewma,3.0,3,0,1.0
10,hotelling_t2,9.0,3,0,1.0
10,isolation_forest,-0.17,0,3,1.0
10,rms_trend,0.0,0,0,0.33
10,three_sigma,11.43,3,0,1.0
