persistence,detector,median_agg_minus_dec_h,n_pos,n_neg,valid_frac_f1_agg,schema,n_zero,sign_test_p,valid_frac_agg_all_factors
1,rms_trend,-11.1667,1,2,1.0,invariant,0,1.0,0.9333333333333333
1,three_sigma,5.8333,3,0,0.6666666666666666,invariant,0,0.25,0.6666666666666666
1,ewma,2.9067,2,1,0.6666666666666666,invariant,0,1.0,0.6666666666666666
1,cusum,4.1533,3,0,0.6666666666666666,invariant,0,0.25,0.6666666666666666
1,hotelling_t2,-7.1133,0,3,0.6666666666666666,invariant,0,0.25,0.6
1,isolation_forest,0.3333,2,1,0.6666666666666666,invariant,0,1.0,0.6666666666666666
3,rms_trend,0.0,1,1,0.3333333333333333,invariant,1,1.0,0.2
3,three_sigma,15.1,2,1,0.6666666666666666,invariant,0,1.0,0.6666666666666666
3,ewma,2.1,2,1,0.6666666666666666,invariant,0,1.0,0.6666666666666666
3,cusum,4.2667,3,0,0.6666666666666666,invariant,0,0.25,0.6666666666666666
3,hotelling_t2,1.1667,3,0,0.6666666666666666,invariant,0,0.25,0.6
3,isolation_forest,3.4333,2,1,0.6666666666666666,invariant,0,1.0,0.6
5,rms_trend,0.0,0,1,0.3333333333333333,invariant,2,1.0,0.06666666666666667
5,three_sigma,7.7667,3,0,0.6666666666666666,invariant,0,0.25,0.5333333333333333
5,ewma,2.9067,2,1,0.6666666666666666,invariant,0,1.0,0.4666666666666667
5,cusum,4.1533,3,0,0.6666666666666666,invariant,0,0.25,0.4666666666666667
5,hotelling_t2,1.0,3,0,0.6666666666666666,invariant,0,0.25,0.5333333333333333
5,isolation_forest,-0.8333,1,2,0.6666666666666666,invariant,0,1.0,0.4666666666666667
10,rms_trend,0.0,0,1,0.0,invariant,2,1.0,0.0
10,three_sigma,3.8333,3,0,0.6666666666666666,invariant,0,0.25,0.3333333333333333
10,ewma,2.3333,3,0,0.6666666666666666,invariant,0,0.25,0.3333333333333333
10,cusum,2.6667,2,1,0.6666666666666666,invariant,0,1.0,0.3333333333333333
10,hotelling_t2,9.1267,3,0,0.6666666666666666,invariant,0,0.25,0.4
10,isolation_forest,4.1667,2,1,0.6666666666666666,invariant,0,1.0,0.26666666666666666
