dataset,run,seed,method,short_name,mode,factor,effective_interval_min,t_onset,t_fail,max_lead_hours,lead_time_hours,detection_delay_hours,far_preonset_pct,lead_norm,vlt_legacy_hours,far_legacy_pct,valid_alarm,n_test_windows,window_rows,persistence_windows,window_floored,control,onset_method,persistence,schema
IMS,1st_test,42,RMS-Trend (kσ),rms_trend,aggregate,1,50.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,7.5488888888888885,5.333333333333333,0.0,0.5859927548732102,7.5488888888888885,0.0,True,172,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,3σ Rule (σ=3.0),three_sigma,aggregate,1,50.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,152.23222222222222,,44.24242424242424,11.817233051578404,152.23222222222222,0.0,False,172,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,1,50.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,152.23222222222222,,63.63636363636363,11.817233051578404,152.23222222222222,0.0,False,172,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,1,50.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,114.93222222222222,,57.57575757575758,8.921769880972917,114.93222222222222,0.0,False,172,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,Hotelling T²,hotelling_t2,aggregate,1,50.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,158.56555555555556,,69.6969696969697,12.308866655166467,158.56555555555556,0.0,False,172,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,Isolation Forest,isolation_forest,aggregate,1,50.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,158.56555555555556,,76.36363636363637,12.308866655166467,158.56555555555556,0.0,False,172,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,RMS-Trend (kσ),rms_trend,aggregate,2,100.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,151.39888888888888,,28.04878048780488,11.752544419527341,151.39888888888888,0.0,False,86,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,3σ Rule (σ=3.0),three_sigma,aggregate,2,100.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,151.39888888888888,,48.78048780487805,11.752544419527341,151.39888888888888,0.0,False,86,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,2,100.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,151.39888888888888,,62.19512195121951,11.752544419527341,151.39888888888888,0.0,False,86,10,1,False,True,terminal,1,invariant
IMS,1st_test,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,2,100.0,2003-11-25 10:47:00,2003-11-25 23:39:56,12.88,114.0988888888889,,57.3170731707317,8.857081248921856,114.0988888888889,0.0,False,86,10,1,False,True,terminal,1,invariant
