persistence,detector,median_agg_minus_dec_h,n_pos,n_neg,valid_frac_f1_agg,schema,n_zero,sign_test_p,valid_frac_agg_all_factors
1,rms_trend,-3.6667,1,2,0.6666666666666666,legacy,0,1.0,0.8
1,three_sigma,4.1667,3,0,0.6666666666666666,legacy,0,0.25,0.6666666666666666
1,ewma,5.1667,3,0,0.6666666666666666,legacy,0,0.25,0.6666666666666666
1,cusum,5.0,3,0,0.6666666666666666,legacy,0,0.25,0.6666666666666666
1,hotelling_t2,25.62,3,0,0.3333333333333333,legacy,0,0.25,0.4666666666666667
1,isolation_forest,10.4333,3,0,0.3333333333333333,legacy,0,0.25,0.6
3,rms_trend,0.0,1,1,0.6666666666666666,legacy,1,1.0,0.26666666666666666
3,three_sigma,18.4333,3,0,0.6666666666666666,legacy,0,0.25,0.6666666666666666
3,ewma,5.7667,3,0,0.6666666666666666,legacy,0,0.25,0.6666666666666666
3,cusum,5.4333,3,0,0.6666666666666666,legacy,0,0.25,0.6666666666666666
3,hotelling_t2,4.6,3,0,0.6666666666666666,legacy,0,0.25,0.6
3,isolation_forest,12.2,3,0,0.6666666666666666,legacy,0,0.25,0.6666666666666666
5,rms_trend,0.0,1,1,0.6666666666666666,legacy,1,1.0,0.2
5,three_sigma,17.4333,3,0,0.6666666666666666,legacy,0,0.25,0.4666666666666667
5,ewma,4.8333,3,0,0.6666666666666666,legacy,0,0.25,0.4666666666666667
5,cusum,4.8333,3,0,0.6666666666666666,legacy,0,0.25,0.4666666666666667
5,hotelling_t2,2.8333,3,0,0.6666666666666666,legacy,0,0.25,0.4
5,isolation_forest,-0.8333,1,2,0.6666666666666666,legacy,0,1.0,0.3333333333333333
10,rms_trend,0.0,0,0,0.3333333333333333,legacy,3,1.0,0.06666666666666667
10,three_sigma,11.4333,3,0,0.6666666666666666,legacy,0,0.25,0.3333333333333333
10,ewma,3.0,3,0,0.6666666666666666,legacy,0,0.25,0.3333333333333333
10,cusum,3.0,3,0,0.6666666666666666,legacy,0,0.25,0.3333333333333333
10,hotelling_t2,9.0,3,0,0.6666666666666666,legacy,0,0.25,0.26666666666666666
10,isolation_forest,-0.1667,0,3,1.0,legacy,0,0.25,0.3333333333333333
