table,dataset,short_name,field,published,dp,arm,computed,match
tab:xjtu,XJTU-SY,three_sigma,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0,True
tab:xjtu,XJTU-SY,three_sigma,n_pos,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:xjtu,XJTU-SY,three_sigma,n_neg,1.0,0,A: as printed (IMS legacy file),1.0,True
tab:xjtu,XJTU-SY,three_sigma,sign_test_p,0.625,3,A: as printed (IMS legacy file),0.625,True
tab:xjtu,XJTU-SY,ewma,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0,True
tab:xjtu,XJTU-SY,ewma,n_pos,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:xjtu,XJTU-SY,ewma,n_neg,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:xjtu,XJTU-SY,ewma,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:xjtu,XJTU-SY,cusum,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0,True
tab:xjtu,XJTU-SY,cusum,n_pos,1.0,0,A: as printed (IMS legacy file),1.0,True
tab:xjtu,XJTU-SY,cusum,n_neg,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:xjtu,XJTU-SY,cusum,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:xjtu,XJTU-SY,hotelling_t2,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0,True
tab:xjtu,XJTU-SY,hotelling_t2,n_pos,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:xjtu,XJTU-SY,hotelling_t2,n_neg,0.0,0,A: as printed (IMS legacy file),0.0,True
tab:xjtu,XJTU-SY,hotelling_t2,sign_test_p,0.5,3,A: as printed (IMS legacy file),0.5,True
tab:xjtu,XJTU-SY,isolation_forest,median_diff_h,-0.1,2,A: as printed (IMS legacy file),-0.10277777777777772,True
tab:xjtu,XJTU-SY,isolation_forest,n_pos,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:xjtu,XJTU-SY,isolation_forest,n_neg,7.0,0,A: as printed (IMS legacy file),7.0,True
tab:xjtu,XJTU-SY,isolation_forest,sign_test_p,0.18,3,A: as printed (IMS legacy file),0.1796875,True
tab:xjtu,XJTU-SY,deep_svdd,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0,True
tab:xjtu,XJTU-SY,deep_svdd,n_pos,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:xjtu,XJTU-SY,deep_svdd,n_neg,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:xjtu,XJTU-SY,deep_svdd,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:xjtu,XJTU-SY,rms_trend,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0,True
tab:xjtu,XJTU-SY,rms_trend,n_pos,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:xjtu,XJTU-SY,rms_trend,n_neg,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:xjtu,XJTU-SY,rms_trend,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:femto,FEMTO,three_sigma,median_diff_h,-0.1,2,A: as printed (IMS legacy file),-0.09861111111111118,True
tab:femto,FEMTO,three_sigma,n_pos,1.0,0,A: as printed (IMS legacy file),1.0,True
tab:femto,FEMTO,three_sigma,n_neg,5.0,0,A: as printed (IMS legacy file),5.0,True
tab:femto,FEMTO,three_sigma,sign_test_p,0.219,3,A: as printed (IMS legacy file),0.21875,True
tab:femto,FEMTO,ewma,median_diff_h,0.01,2,A: as printed (IMS legacy file),0.008333333333333345,True
tab:femto,FEMTO,ewma,n_pos,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:femto,FEMTO,ewma,n_neg,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:femto,FEMTO,ewma,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:femto,FEMTO,cusum,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0013888888888889117,True
tab:femto,FEMTO,cusum,n_pos,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:femto,FEMTO,cusum,n_neg,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:femto,FEMTO,cusum,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:femto,FEMTO,hotelling_t2,median_diff_h,0.07,2,A: as printed (IMS legacy file),0.06944444444444448,True
tab:femto,FEMTO,hotelling_t2,n_pos,5.0,0,A: as printed (IMS legacy file),5.0,True
tab:femto,FEMTO,hotelling_t2,n_neg,1.0,0,A: as printed (IMS legacy file),1.0,True
tab:femto,FEMTO,hotelling_t2,sign_test_p,0.219,3,A: as printed (IMS legacy file),0.21875,True
tab:femto,FEMTO,isolation_forest,median_diff_h,-0.14,2,A: as printed (IMS legacy file),-0.1366666666666666,True
tab:femto,FEMTO,isolation_forest,n_pos,0.0,0,A: as printed (IMS legacy file),0.0,True
tab:femto,FEMTO,isolation_forest,n_neg,6.0,0,A: as printed (IMS legacy file),6.0,True
tab:femto,FEMTO,isolation_forest,sign_test_p,0.031,3,A: as printed (IMS legacy file),0.03125,True
tab:femto,FEMTO,deep_svdd,median_diff_h,-0.0,2,A: as printed (IMS legacy file),-0.0033333333333333288,True
tab:femto,FEMTO,deep_svdd,n_pos,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:femto,FEMTO,deep_svdd,n_neg,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:femto,FEMTO,deep_svdd,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:femto,FEMTO,lstm_ae,median_diff_h,-0.05,2,A: as printed (IMS legacy file),-0.04902777777777778,True
tab:femto,FEMTO,lstm_ae,n_pos,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:femto,FEMTO,lstm_ae,n_neg,4.0,0,A: as printed (IMS legacy file),4.0,True
tab:femto,FEMTO,lstm_ae,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:femto,FEMTO,tcn,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0011111111111112293,True
tab:femto,FEMTO,tcn,n_pos,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:femto,FEMTO,tcn,n_neg,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:femto,FEMTO,tcn,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:femto,FEMTO,transformer_ad,median_diff_h,0.04,2,A: as printed (IMS legacy file),0.041250000000000064,True
tab:femto,FEMTO,transformer_ad,n_pos,5.0,0,A: as printed (IMS legacy file),5.0,True
tab:femto,FEMTO,transformer_ad,n_neg,1.0,0,A: as printed (IMS legacy file),1.0,True
tab:femto,FEMTO,transformer_ad,sign_test_p,0.219,3,A: as printed (IMS legacy file),0.21875,True
tab:femto,FEMTO,rms_trend,median_diff_h,-0.03,2,A: as printed (IMS legacy file),-0.025000000000000012,True
tab:femto,FEMTO,rms_trend,n_pos,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:femto,FEMTO,rms_trend,n_neg,4.0,0,A: as printed (IMS legacy file),4.0,True
tab:femto,FEMTO,rms_trend,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:ferrara,Ferrara,three_sigma,median_diff_h,-0.02,2,A: as printed (IMS legacy file),-0.021111111111111164,True
tab:ferrara,Ferrara,three_sigma,n_pos,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:ferrara,Ferrara,three_sigma,n_neg,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:ferrara,Ferrara,three_sigma,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:ferrara,Ferrara,ewma,median_diff_h,0.01,2,A: as printed (IMS legacy file),0.007083333333333358,True
tab:ferrara,Ferrara,ewma,n_pos,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:ferrara,Ferrara,ewma,n_neg,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:ferrara,Ferrara,ewma,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:ferrara,Ferrara,cusum,median_diff_h,0.01,2,A: as printed (IMS legacy file),0.011111111111111134,True
tab:ferrara,Ferrara,cusum,n_pos,4.0,0,A: as printed (IMS legacy file),4.0,True
tab:ferrara,Ferrara,cusum,n_neg,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:ferrara,Ferrara,cusum,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:ferrara,Ferrara,hotelling_t2,median_diff_h,0.05,2,A: as printed (IMS legacy file),0.04555555555555557,True
tab:ferrara,Ferrara,hotelling_t2,n_pos,5.0,0,A: as printed (IMS legacy file),5.0,True
tab:ferrara,Ferrara,hotelling_t2,n_neg,1.0,0,A: as printed (IMS legacy file),1.0,True
tab:ferrara,Ferrara,hotelling_t2,sign_test_p,0.219,3,A: as printed (IMS legacy file),0.21875,True
tab:ferrara,Ferrara,isolation_forest,median_diff_h,-0.08,2,A: as printed (IMS legacy file),-0.07527777777777775,True
tab:ferrara,Ferrara,isolation_forest,n_pos,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:ferrara,Ferrara,isolation_forest,n_neg,4.0,0,A: as printed (IMS legacy file),4.0,True
tab:ferrara,Ferrara,isolation_forest,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:ferrara,Ferrara,deep_svdd,median_diff_h,-0.01,2,A: as printed (IMS legacy file),-0.00555555555555555,True
tab:ferrara,Ferrara,deep_svdd,n_pos,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:ferrara,Ferrara,deep_svdd,n_neg,4.0,0,A: as printed (IMS legacy file),4.0,True
tab:ferrara,Ferrara,deep_svdd,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:ferrara,Ferrara,lstm_ae,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0033333333333333062,True
tab:ferrara,Ferrara,lstm_ae,n_pos,4.0,0,A: as printed (IMS legacy file),4.0,True
tab:ferrara,Ferrara,lstm_ae,n_neg,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:ferrara,Ferrara,lstm_ae,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:ferrara,Ferrara,tcn,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0033333333333333062,True
tab:ferrara,Ferrara,tcn,n_pos,4.0,0,A: as printed (IMS legacy file),4.0,True
tab:ferrara,Ferrara,tcn,n_neg,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:ferrara,Ferrara,tcn,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:ferrara,Ferrara,transformer_ad,median_diff_h,0.0,2,A: as printed (IMS legacy file),0.0033333333333333062,True
tab:ferrara,Ferrara,transformer_ad,n_pos,4.0,0,A: as printed (IMS legacy file),4.0,True
tab:ferrara,Ferrara,transformer_ad,n_neg,2.0,0,A: as printed (IMS legacy file),2.0,True
tab:ferrara,Ferrara,transformer_ad,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:ferrara,Ferrara,rms_trend,median_diff_h,-0.0,2,A: as printed (IMS legacy file),-0.0030555555555555475,True
tab:ferrara,Ferrara,rms_trend,n_pos,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:ferrara,Ferrara,rms_trend,n_neg,3.0,0,A: as printed (IMS legacy file),3.0,True
tab:ferrara,Ferrara,rms_trend,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:imssweep,IMS,three_sigma,run_diff_1,27.1,1,A: as printed (IMS legacy file),27.0798,True
tab:imssweep,IMS,three_sigma,run_diff_2,18.4,1,A: as printed (IMS legacy file),18.4333,True
tab:imssweep,IMS,three_sigma,run_diff_3,15.6,1,A: as printed (IMS legacy file),15.6333,True
tab:imssweep,IMS,three_sigma,median_diff_h,18.4,1,A: as printed (IMS legacy file),18.43333333333333,True
tab:imssweep,IMS,three_sigma,sign_test_p,0.25,2,A: as printed (IMS legacy file),0.25,True
tab:imssweep,IMS,isolation_forest,run_diff_1,19.9,1,A: as printed (IMS legacy file),19.9431,True
tab:imssweep,IMS,isolation_forest,run_diff_2,12.2,1,A: as printed (IMS legacy file),12.2,True
tab:imssweep,IMS,isolation_forest,run_diff_3,1.8,1,A: as printed (IMS legacy file),1.7667,True
tab:imssweep,IMS,isolation_forest,median_diff_h,12.2,1,A: as printed (IMS legacy file),12.2,True
tab:imssweep,IMS,isolation_forest,sign_test_p,0.25,2,A: as printed (IMS legacy file),0.25,True
tab:imssweep,IMS,ewma,run_diff_1,22.6,1,A: as printed (IMS legacy file),22.5667,True
tab:imssweep,IMS,ewma,run_diff_2,5.0,1,A: as printed (IMS legacy file),5.0,True
tab:imssweep,IMS,ewma,run_diff_3,5.8,1,A: as printed (IMS legacy file),5.7667,True
tab:imssweep,IMS,ewma,median_diff_h,5.8,1,A: as printed (IMS legacy file),5.766666666666666,True
tab:imssweep,IMS,ewma,sign_test_p,0.25,2,A: as printed (IMS legacy file),0.25,True
tab:imssweep,IMS,cusum,run_diff_1,22.6,1,A: as printed (IMS legacy file),22.5667,True
tab:imssweep,IMS,cusum,run_diff_2,5.0,1,A: as printed (IMS legacy file),5.0,True
tab:imssweep,IMS,cusum,run_diff_3,5.4,1,A: as printed (IMS legacy file),5.4333,True
tab:imssweep,IMS,cusum,median_diff_h,5.4,1,A: as printed (IMS legacy file),5.433333333333334,True
tab:imssweep,IMS,cusum,sign_test_p,0.25,2,A: as printed (IMS legacy file),0.25,True
tab:imssweep,IMS,hotelling_t2,run_diff_1,3.3,1,A: as printed (IMS legacy file),3.2533,True
tab:imssweep,IMS,hotelling_t2,run_diff_2,12.3,1,A: as printed (IMS legacy file),12.2667,True
tab:imssweep,IMS,hotelling_t2,run_diff_3,4.6,1,A: as printed (IMS legacy file),4.6,True
tab:imssweep,IMS,hotelling_t2,median_diff_h,4.6,1,A: as printed (IMS legacy file),4.600000000000001,True
tab:imssweep,IMS,hotelling_t2,sign_test_p,0.25,2,A: as printed (IMS legacy file),0.25,True
tab:imssweep,IMS,deep_svdd,run_diff_1,15.2,1,A: as printed (IMS legacy file),15.2464,True
tab:imssweep,IMS,deep_svdd,run_diff_2,0.0,1,A: as printed (IMS legacy file),0.0,True
tab:imssweep,IMS,deep_svdd,run_diff_3,1.8,1,A: as printed (IMS legacy file),1.7667,True
tab:imssweep,IMS,deep_svdd,median_diff_h,1.8,1,A: as printed (IMS legacy file),1.766666666666667,True
tab:imssweep,IMS,deep_svdd,sign_test_p,0.5,2,A: as printed (IMS legacy file),0.5,True
tab:imssweep,IMS,rms_trend,run_diff_1,-19.4,1,A: as printed (IMS legacy file),-19.4131,True
tab:imssweep,IMS,rms_trend,run_diff_2,0.0,1,A: as printed (IMS legacy file),0.0,True
tab:imssweep,IMS,rms_trend,run_diff_3,2.8,1,A: as printed (IMS legacy file),2.7667,True
tab:imssweep,IMS,rms_trend,median_diff_h,0.0,1,A: as printed (IMS legacy file),0.0,True
tab:imssweep,IMS,rms_trend,sign_test_p,1.0,2,A: as printed (IMS legacy file),1.0,True
tab:imssweep,IMS,lstm_ae,run_diff_1,-1.4,1,A: as printed (IMS legacy file),-1.3889,True
tab:imssweep,IMS,lstm_ae,run_diff_2,-0.4,1,A: as printed (IMS legacy file),-0.4167,True
