dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,ims_schema,validity_convention
FEMTO,cusum,"CUSUM (k=0.5, h=5.0)",raw,6,6,0,"+0.2700, +0.1611, +0.2278, -0.0583, -0.0556, +0.0406",0.10083333333333339,4,2,0,6,0.03125,0.6875,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,deep_svdd,Deep SVDD,raw,6,6,0,"-0.0167, +0.0000, -0.0750, +0.0000, -0.0078, +0.0089",-0.0038888888888888827,1,3,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,ewma,"EWMA (λ=0.2, k=3.0)",raw,6,6,0,"+0.1422, +0.1200, +0.2422, -0.0472, -0.0556, +0.0661",0.09305555555555553,4,2,0,6,0.03125,0.6875,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,hotelling_t2,Hotelling T²,raw,6,6,0,"-0.7322, +0.3383, +0.1300, +0.1172, +0.0256, +0.0089",0.07138888888888892,5,1,0,6,0.03125,0.21875,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,isolation_forest,Isolation Forest,raw,6,6,0,"-0.9278, -0.1278, +0.1211, -0.1522, +0.0111, -0.0022",-0.065,2,4,0,6,0.03125,0.6875,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,lstm_ae,LSTM-Autoencoder,raw,6,6,0,"+0.0000, +0.0000, -0.0806, +0.0000, -0.1315, -0.1522",-0.040277777777777746,0,3,3,3,0.25,0.25,True,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,one_class_svm,One-Class SVM (nu=0.05),raw,6,6,0,"+0.1228, +0.0156, +0.0656, +0.0000, +0.0317, -0.5561",0.023611111111111055,4,1,1,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,rms_trend,RMS-Trend (kσ),raw,6,6,0,"-0.6122, +0.0000, -0.0333, +0.0061, +0.0000, -0.0961",-0.016666666666666677,1,3,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,tcn,TCN-Autoencoder,raw,6,6,0,"+0.0000, +0.0000, -0.0806, +0.0000, +0.0296, -0.0022",0.0,1,2,3,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,three_sigma,3σ Rule (σ=3.0),raw,6,6,0,"-0.7661, -0.2444, -0.0000, -0.1611, +0.0111, -0.1161",-0.13861111111111116,1,5,0,6,0.03125,0.21875,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
FEMTO,transformer_ad,Transformer-AD,raw,6,6,0,"+0.0000, -0.2375, -0.1007, +0.0000, -0.1167, -0.0056",-0.05312499999999998,0,4,2,4,0.125,0.125,True,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,cusum,"CUSUM (k=0.5, h=5.0)",raw,6,6,0,"+0.0083, +0.0069, +0.0083, -0.0194, +0.0819, +0.0553",0.008333333333333318,5,1,0,6,0.03125,0.21875,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,deep_svdd,Deep SVDD,raw,6,6,0,"+0.0042, -0.0239, -0.0178, +0.0000, -0.0014, -0.0044",-0.002916666666666663,1,4,1,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,ewma,"EWMA (λ=0.2, k=3.0)",raw,6,6,0,"-1.1322, +0.0067, +0.0083, -0.0181, +0.0803, +0.0506",0.0075,4,2,0,6,0.03125,0.6875,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,hotelling_t2,Hotelling T²,raw,6,6,0,"-0.7417, +0.1403, +0.0000, +0.0167, +0.1097, +0.0042",0.010416666666666657,4,1,1,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,isolation_forest,Isolation Forest,raw,6,6,0,"-0.9694, +0.0472, +0.0000, +0.0097, -0.1569, +0.0975",0.004861111111111101,3,2,1,5,0.0625,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,lstm_ae,LSTM-Autoencoder,raw,6,6,0,"-0.5100, -0.0272, +0.0000, +0.0023, +0.0969, +0.0000",0.0,2,2,2,4,0.125,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,one_class_svm,One-Class SVM (nu=0.05),raw,6,6,0,"-0.1275, +0.0153, +0.0000, +0.0117, +0.0392, +0.0097",0.010694444444444437,4,1,1,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,rms_trend,RMS-Trend (kσ),raw,6,6,0,"+0.0228, +0.0156, -0.0381, -0.0056, +0.0028, +0.0328",0.00916666666666667,4,2,0,6,0.03125,0.6875,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,tcn,TCN-Autoencoder,raw,6,6,0,"-0.5861, +0.0444, +0.0000, +0.0023, +0.0033, +0.0000",0.0011574074074074056,3,1,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,three_sigma,3σ Rule (σ=3.0),raw,6,6,0,"-0.8583, -0.0319, +0.0000, +0.0097, -0.0292, +0.1789",-0.014583333333333393,2,3,1,5,0.0625,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
Ferrara,transformer_ad,Transformer-AD,raw,6,6,0,"-0.7206, +0.0436, +0.0000, +0.0023, +0.1803, +0.0000",0.0011574074074074056,3,1,2,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,cusum,"CUSUM (k=0.5, h=5.0)",raw,3,3,0,"+4.1533, +4.6667, +4.2667",4.266666666666669,3,0,0,3,0.25,0.25,True,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,deep_svdd,Deep SVDD,raw,3,3,0,"+8.9298, +0.0000, +0.0000",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,ewma,"EWMA (λ=0.2, k=3.0)",raw,3,3,0,"-3.8867, +4.3333, +2.1000",2.1000000000000014,2,1,0,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,hotelling_t2,Hotelling T²,raw,3,3,0,"+1.0000, +1.1667, +81.7367",1.1666666666666643,3,0,0,3,0.25,0.25,True,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,isolation_forest,Isolation Forest,raw,3,3,0,"-0.6667, +16.8667, +3.4333",3.4333333333333336,2,1,0,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,lstm_ae,LSTM-Autoencoder,raw,3,3,0,"-1.3889, -0.4167, +56.1250",-0.4166666666666572,1,2,0,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,one_class_svm,One-Class SVM (nu=0.05),raw,3,3,0,"-2.4333, -5.5000, +1.5333",-2.4333333333332803,1,2,0,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,rms_trend,RMS-Trend (kσ),raw,3,3,0,"-0.1667, +0.0000, +2.3667",0.0,1,1,1,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,tcn,TCN-Autoencoder,raw,3,3,0,"-1.3889, -0.4167, +9.0000",-0.4166666666666572,1,2,0,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,three_sigma,3σ Rule (σ=3.0),raw,3,3,0,"+25.8131, +15.1000, -1.0000",15.099999999999994,2,1,0,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
IMS,transformer_ad,Transformer-AD,raw,3,3,0,"-1.3889, -0.4167, +68.7917",-0.4166666666666572,1,2,0,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),n/a (raw lead carries no gate)
ONGC,cusum,"CUSUM (k=0.5, h=5.0)",raw,1,1,0,+0.0018,0.0018333333333373503,1,0,0,1,1.0,1.0,True,,False,,invariant (D-2),n/a (raw lead carries no gate)
