dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,indicator,median_shift_vs_rms_kurt_h,sign_pattern
FEMTO,cusum,"CUSUM (k=0.5, h=5.0)",raw,6,6,0,"+0.1483, -0.2800, +0.2483, -0.0950, -0.0650, +0.0678",0.0013888888888889117,3,3,0,6,0.03125,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/3-/0=
FEMTO,deep_svdd,Deep SVDD,raw,6,6,0,"-0.0078, +0.0011, -0.0750, -0.0078, +0.0200, +0.0078",-0.0033333333333333288,3,3,0,6,0.03125,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/3-/0=
FEMTO,ewma,"EWMA (λ=0.2, k=3.0)",raw,6,6,0,"+0.0383, -0.0217, +0.2533, -0.1933, -0.0650, +0.0922",0.008333333333333345,3,3,0,6,0.03125,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/3-/0=
FEMTO,hotelling_t2,Hotelling T²,raw,6,6,0,"-0.4433, +0.3417, +0.1500, +0.1194, +0.0194, +0.0094",0.06944444444444448,5,1,0,6,0.03125,0.21875,False,1.0,False,44.0,rms_kurt,0.0,5+/1-/0=
FEMTO,isolation_forest,Isolation Forest,raw,6,6,0,"-0.9411, -0.3044, -0.0178, -0.1572, -0.0050, -0.1161",-0.1366666666666666,0,6,0,6,0.03125,0.03125,True,1.0,False,44.0,rms_kurt,0.0,0+/6-/0=
FEMTO,lstm_ae,LSTM-Autoencoder,raw,6,6,0,"-0.0967, -0.2715, +0.0090, -0.0014, +0.0847, -0.1394",-0.04902777777777778,2,4,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,2+/4-/0=
FEMTO,one_class_svm,One-Class SVM (nu=0.05),raw,6,6,0,"+0.1161, +0.0178, +0.0956, -0.0117, +0.0533, -0.4311",0.03555555555555548,4,2,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,4+/2-/0=
FEMTO,rms_trend,RMS-Trend (kσ),raw,6,6,0,"-0.6106, +0.0011, -0.0422, -0.0078, +0.0017, -0.1050",-0.025000000000000012,2,4,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,2+/4-/0=
FEMTO,tcn,TCN-Autoencoder,raw,6,6,0,"+0.0033, -0.1639, +0.0090, -0.0014, +0.0870, -0.0011",0.0011111111111112293,3,3,0,6,0.03125,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/3-/0=
FEMTO,three_sigma,3σ Rule (σ=3.0),raw,6,6,0,"-0.7561, -0.2322, -0.1056, -0.0372, +0.0017, -0.0917",-0.09861111111111118,1,5,0,6,0.03125,0.21875,False,1.0,False,44.0,rms_kurt,0.0,1+/5-/0=
FEMTO,transformer_ad,Transformer-AD,raw,6,6,0,"+0.0033, -0.2611, +0.0896, +0.0792, +0.0847, +0.0033",0.041250000000000064,5,1,0,6,0.03125,0.21875,False,1.0,False,44.0,rms_kurt,0.0,5+/1-/0=
Ferrara,cusum,"CUSUM (k=0.5, h=5.0)",raw,6,6,0,"+0.0022, -0.0072, +0.0200, -0.0033, +0.1778, +0.0681",0.011111111111111134,4,2,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,4+/2-/0=
Ferrara,deep_svdd,Deep SVDD,raw,6,6,0,"+0.0003, -0.0094, +0.0094, -0.0061, -0.0069, -0.0050",-0.00555555555555555,2,4,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,2+/4-/0=
Ferrara,ewma,"EWMA (λ=0.2, k=3.0)",raw,6,6,0,"-1.1444, -0.0097, +0.0175, -0.0033, +0.0878, +0.0667",0.007083333333333358,3,3,0,6,0.03125,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/3-/0=
Ferrara,hotelling_t2,Hotelling T²,raw,6,6,0,"-1.0250, +0.3231, +0.0067, +0.0778, +0.2133, +0.0133",0.04555555555555557,5,1,0,6,0.03125,0.21875,False,1.0,False,44.0,rms_kurt,0.0,5+/1-/0=
Ferrara,isolation_forest,Isolation Forest,raw,6,6,0,"-1.1072, -0.1161, +0.0067, -0.0344, -0.3289, +0.0389",-0.07527777777777775,2,4,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,2+/4-/0=
Ferrara,lstm_ae,LSTM-Autoencoder,raw,6,6,0,"-1.2939, +0.0608, +0.0067, +0.0000, +0.1038, -0.0005",0.0033333333333333062,4,2,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,4+/2-/0=
Ferrara,one_class_svm,One-Class SVM (nu=0.05),raw,6,6,0,"-0.2353, +0.0164, +0.0067, +0.0228, +0.1256, +0.0244",0.01958333333333337,5,1,0,6,0.03125,0.21875,False,1.0,False,44.0,rms_kurt,0.0,5+/1-/0=
Ferrara,rms_trend,RMS-Trend (kσ),raw,6,6,0,"+0.0108, +0.0092, -0.0150, +0.0072, -0.0133, -0.0508",-0.0030555555555555475,3,3,0,6,0.03125,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/3-/0=
Ferrara,tcn,TCN-Autoencoder,raw,6,6,0,"-0.9289, +0.0511, +0.0067, +0.0000, +0.0505, -0.0005",0.0033333333333333062,4,2,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,4+/2-/0=
Ferrara,three_sigma,3σ Rule (σ=3.0),raw,6,6,0,"-0.9894, -0.3358, +0.0067, +0.0244, -0.0489, +0.1825",-0.021111111111111164,3,3,0,6,0.03125,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/3-/0=
Ferrara,transformer_ad,Transformer-AD,raw,6,6,0,"-1.5211, +0.0692, +0.0067, +0.0000, +0.1853, -0.0005",0.0033333333333333062,4,2,0,6,0.03125,0.6875,False,1.0,False,44.0,rms_kurt,0.0,4+/2-/0=
IMS,cusum,"CUSUM (k=0.5, h=5.0)",raw,3,3,0,"+4.1533, +4.6667, +4.2667",4.266666666666669,3,0,0,3,0.25,0.25,True,1.0,False,44.0,rms_kurt,0.0,3+/0-/0=
IMS,deep_svdd,Deep SVDD,raw,3,3,0,"+8.9298, +0.0000, +0.0000",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,1+/0-/2=
IMS,ewma,"EWMA (λ=0.2, k=3.0)",raw,3,3,0,"-3.8867, +4.3333, +2.1000",2.1000000000000014,2,1,0,3,0.25,1.0,False,1.0,False,44.0,rms_kurt,0.0,2+/1-/0=
IMS,hotelling_t2,Hotelling T²,raw,3,3,0,"+1.0000, +1.1667, +81.7367",1.1666666666666643,3,0,0,3,0.25,0.25,True,1.0,False,44.0,rms_kurt,0.0,3+/0-/0=
IMS,isolation_forest,Isolation Forest,raw,3,3,0,"-0.6667, +16.8667, +3.4333",3.4333333333333336,2,1,0,3,0.25,1.0,False,1.0,False,44.0,rms_kurt,0.0,2+/1-/0=
IMS,lstm_ae,LSTM-Autoencoder,raw,3,3,0,"-1.3889, -0.4167, +56.1250",-0.4166666666666572,1,2,0,3,0.25,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/2-/0=
IMS,one_class_svm,One-Class SVM (nu=0.05),raw,3,3,0,"-2.4333, -5.5000, +1.5333",-2.4333333333332803,1,2,0,3,0.25,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/2-/0=
IMS,rms_trend,RMS-Trend (kσ),raw,3,3,0,"-0.1667, +0.0000, +2.3667",0.0,1,1,1,2,0.5,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/1-/1=
IMS,tcn,TCN-Autoencoder,raw,3,3,0,"-1.3889, -0.4167, +9.0000",-0.4166666666666572,1,2,0,3,0.25,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/2-/0=
IMS,three_sigma,3σ Rule (σ=3.0),raw,3,3,0,"+25.8131, +15.1000, -1.0000",15.099999999999994,2,1,0,3,0.25,1.0,False,1.0,False,44.0,rms_kurt,0.0,2+/1-/0=
IMS,transformer_ad,Transformer-AD,raw,3,3,0,"-1.3889, -0.4167, +68.7917",-0.4166666666666572,1,2,0,3,0.25,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/2-/0=
ONGC,cusum,"CUSUM (k=0.5, h=5.0)",raw,1,1,0,-0.0171,-0.017055555555558044,0,1,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,0+/1-/0=
ONGC,deep_svdd,Deep SVDD,raw,1,1,0,+0.0033,0.00333333333333332,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,ewma,"EWMA (λ=0.2, k=3.0)",raw,1,1,0,-0.0188,-0.018777777777778226,0,1,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,0+/1-/0=
ONGC,hotelling_t2,Hotelling T²,raw,1,1,0,+2.4057,2.4057222222222236,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,isolation_forest,Isolation Forest,raw,1,1,0,+0.1213,0.12127777777777737,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,lstm_ae,LSTM-Autoencoder,raw,1,1,0,-0.2632,-0.26322222222222535,0,1,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,0+/1-/0=
ONGC,one_class_svm,One-Class SVM (nu=0.05),raw,1,1,0,+0.0106,0.01055555555555543,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,rms_trend,RMS-Trend (kσ),raw,1,1,0,+0.0007,0.0007222222222225128,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,tcn,TCN-Autoencoder,raw,1,1,0,-0.1344,-0.13438888888889267,0,1,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,0+/1-/0=
ONGC,three_sigma,3σ Rule (σ=3.0),raw,1,1,0,+0.0106,0.01055555555555543,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,transformer_ad,Transformer-AD,raw,1,1,0,-0.0056,-0.005555555555559977,0,1,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,0+/1-/0=
