dataset,run,indicator,note,t_onset,onset_pct,max_lead_hours,test_start,onset_before_test_start
IMS,1st_test,rms_kurt,,2003-11-25 10:47:00,98.44335930419746,12.882222222222222,2003-11-17 20:02:00,False
IMS,1st_test,pca1,,2003-11-25 12:57:00,98.70517139293429,10.715555555555556,2003-11-17 20:02:00,False
IMS,1st_test,kurt_only,,2003-11-25 13:17:00,98.74545017581688,10.382222222222222,2003-11-17 20:02:00,False
IMS,2nd_test,rms_kurt,,2004-02-16 15:52:00,61.85147507629705,62.5,2004-02-16 12:52:00,False
IMS,2nd_test,pca1,,2004-02-18 03:32:00,83.62156663275687,26.833333333333332,2004-02-16 12:52:00,False
IMS,2nd_test,kurt_only,,2004-02-19 04:22:00,98.77924720244151,2.0,2004-02-16 12:52:00,False
IMS,3rd_test,rms_kurt,,2004-04-16 06:12:00,95.8537153505707,44.5,2004-03-31 04:31:00,False
IMS,3rd_test,pca1,,2004-04-16 20:42:00,97.20475192173305,30.0,2004-03-31 04:31:00,False
IMS,3rd_test,kurt_only,,2004-04-17 23:12:00,99.67388772420219,3.5,2004-03-31 04:31:00,False
XJTU-SY,Bearing1_1,rms_kurt,,2019-01-01 01:15:00,61.47540983606557,0.7833333333333333,2019-01-01 01:10:00,False
XJTU-SY,Bearing1_1,pca1,,,,,2019-01-01 01:10:00,False
XJTU-SY,Bearing1_1,kurt_only,,,,,2019-01-01 01:10:00,False
XJTU-SY,Bearing1_2,rms_kurt,,,,,2019-01-01 01:35:00,False
XJTU-SY,Bearing1_2,pca1,,,,,2019-01-01 01:35:00,False
XJTU-SY,Bearing1_2,kurt_only,,,,,2019-01-01 01:35:00,False
XJTU-SY,Bearing1_3,rms_kurt,,2019-01-01 01:31:00,57.961783439490446,1.1,2019-01-01 01:35:00,True
XJTU-SY,Bearing1_3,pca1,,2019-01-01 02:12:00,84.07643312101911,0.4166666666666667,2019-01-01 01:35:00,False
XJTU-SY,Bearing1_3,kurt_only,,2019-01-01 01:27:00,55.4140127388535,1.1666666666666667,2019-01-01 01:35:00,True
XJTU-SY,Bearing1_4,rms_kurt,,2019-01-01 01:20:00,66.11570247933884,0.6833333333333333,2019-01-01 01:10:00,False
XJTU-SY,Bearing1_4,pca1,,2019-01-01 01:23:00,68.59504132231405,0.6333333333333333,2019-01-01 01:10:00,False
XJTU-SY,Bearing1_4,kurt_only,,2019-01-01 01:20:00,66.11570247933884,0.6833333333333333,2019-01-01 01:10:00,False
XJTU-SY,Bearing1_5,rms_kurt,,2019-01-01 00:29:00,56.86274509803921,0.36666666666666664,2019-01-01 00:30:00,True
XJTU-SY,Bearing1_5,pca1,,2019-01-01 00:34:00,66.66666666666667,0.2833333333333333,2019-01-01 00:30:00,False
XJTU-SY,Bearing1_5,kurt_only,,,,,2019-01-01 00:30:00,False
XJTU-SY,Bearing2_1,rms_kurt,,2019-01-01 07:32:00,92.24489795918367,0.6333333333333333,2019-01-01 04:55:00,False
XJTU-SY,Bearing2_1,pca1,,2019-01-01 07:32:00,92.24489795918367,0.6333333333333333,2019-01-01 04:55:00,False
XJTU-SY,Bearing2_1,kurt_only,,2019-01-01 07:32:00,92.24489795918367,0.6333333333333333,2019-01-01 04:55:00,False
XJTU-SY,Bearing2_2,rms_kurt,,2019-01-01 01:24:00,52.5,1.2666666666666666,2019-01-01 01:35:00,True
XJTU-SY,Bearing2_2,pca1,,,,,2019-01-01 01:35:00,False
XJTU-SY,Bearing2_2,kurt_only,,,,,2019-01-01 01:35:00,False
XJTU-SY,Bearing2_3,rms_kurt,,2019-01-01 05:23:00,60.714285714285715,3.4833333333333334,2019-01-01 05:20:00,False
XJTU-SY,Bearing2_3,pca1,,2019-01-01 07:54:00,89.09774436090225,0.9666666666666667,2019-01-01 05:20:00,False
XJTU-SY,Bearing2_3,kurt_only,,2019-01-01 05:48:00,65.41353383458646,3.066666666666667,2019-01-01 05:20:00,False
XJTU-SY,Bearing2_4,rms_kurt,,2019-01-01 00:30:00,73.17073170731707,0.18333333333333332,2019-01-01 00:25:00,False
XJTU-SY,Bearing2_4,pca1,,2019-01-01 00:33:00,80.48780487804878,0.13333333333333333,2019-01-01 00:25:00,False
XJTU-SY,Bearing2_4,kurt_only,,,,,2019-01-01 00:25:00,False
XJTU-SY,Bearing2_5,rms_kurt,,2019-01-01 02:50:00,50.29585798816568,2.8,2019-01-01 03:20:00,True
XJTU-SY,Bearing2_5,pca1,,2019-01-01 03:54:00,69.23076923076923,1.7333333333333334,2019-01-01 03:20:00,False
XJTU-SY,Bearing2_5,kurt_only,,,,,2019-01-01 03:20:00,False
FEMTO,Bearing1_1,rms_kurt,,2011-01-01 07:09:10,91.89864382583869,0.6305555555555555,2011-01-01 04:40:00,False
FEMTO,Bearing1_1,pca1,,2011-01-01 07:33:10,97.0378301213419,0.23055555555555557,2011-01-01 04:40:00,False
FEMTO,Bearing1_1,kurt_only,,2011-01-01 03:39:30,47.00214132762313,4.125,2011-01-01 04:40:00,True
FEMTO,Bearing1_2,rms_kurt,,2011-01-01 02:18:00,95.17241379310344,0.11666666666666667,2011-01-01 01:26:40,False
FEMTO,Bearing1_2,pca1,,,,,2011-01-01 01:26:40,False
FEMTO,Bearing1_2,kurt_only,,,,,2011-01-01 01:26:40,False
FEMTO,Bearing2_1,rms_kurt,,2011-01-01 02:29:20,98.46153846153847,0.03888888888888889,2011-01-01 01:30:50,False
FEMTO,Bearing2_1,pca1,,2011-01-01 02:29:40,98.68131868131869,0.03333333333333333,2011-01-01 01:30:50,False
FEMTO,Bearing2_1,kurt_only,,2011-01-01 02:16:20,89.89010989010988,0.25555555555555554,2011-01-01 01:30:50,False
FEMTO,Bearing2_2,rms_kurt,,2011-01-01 02:10:40,98.49246231155779,0.03333333333333333,2011-01-01 01:19:10,False
FEMTO,Bearing2_2,pca1,,2011-01-01 02:06:40,95.47738693467336,0.1,2011-01-01 01:19:10,False
FEMTO,Bearing2_2,kurt_only,,2011-01-01 02:05:10,94.34673366834171,0.125,2011-01-01 01:19:10,False
FEMTO,Bearing3_1,rms_kurt,,2011-01-01 01:21:00,94.55252918287938,0.07777777777777778,2011-01-01 00:51:40,False
FEMTO,Bearing3_1,pca1,,2011-01-01 01:21:40,95.3307392996109,0.06666666666666667,2011-01-01 00:51:40,False
FEMTO,Bearing3_1,kurt_only,,2011-01-01 01:21:00,94.55252918287938,0.07777777777777778,2011-01-01 00:51:40,False
FEMTO,Bearing3_2,rms_kurt,,2011-01-01 04:24:30,97.00488997555013,0.1361111111111111,2011-01-01 02:43:20,False
FEMTO,Bearing3_2,pca1,,2011-01-01 04:24:00,96.82151589242054,0.14444444444444443,2011-01-01 02:43:20,False
FEMTO,Bearing3_2,kurt_only,,2011-01-01 04:01:00,88.38630806845966,0.5277777777777778,2011-01-01 02:43:20,False
Ferrara,E1,rms_kurt,,2024-01-01 06:44:40,98.77949552481692,0.08333333333333333,2024-01-01 04:05:50,False
Ferrara,E1,pca1,,2024-01-01 06:44:40,98.77949552481692,0.08333333333333333,2024-01-01 04:05:50,False
