dataset,short_name,indicator,max_abs_dev_row_lead_h,row_nan_mismatch,max_abs_dev_run_diff_h,n_run_diffs,median_rms_kurt_h,median_alt_h
FEMTO,cusum,pca1,0.0,0,0.0,6,0.0013888888888889117,0.0013888888888889117
FEMTO,deep_svdd,pca1,0.0,0,0.0,6,-0.0033333333333333288,-0.0033333333333333288
FEMTO,ewma,pca1,0.0,0,0.0,6,0.008333333333333345,0.008333333333333345
FEMTO,hotelling_t2,pca1,0.0,0,0.0,6,0.06944444444444448,0.06944444444444448
FEMTO,isolation_forest,pca1,0.0,0,0.0,6,-0.1366666666666666,-0.1366666666666666
FEMTO,lstm_ae,pca1,0.0,0,0.0,6,-0.04902777777777778,-0.04902777777777778
FEMTO,one_class_svm,pca1,0.0,0,0.0,6,0.03555555555555548,0.03555555555555548
FEMTO,rms_trend,pca1,0.0,0,0.0,6,-0.025000000000000012,-0.025000000000000012
FEMTO,tcn,pca1,0.0,0,0.0,6,0.0011111111111112293,0.0011111111111112293
FEMTO,three_sigma,pca1,0.0,0,0.0,6,-0.09861111111111118,-0.09861111111111118
FEMTO,transformer_ad,pca1,0.0,0,0.0,6,0.041250000000000064,0.041250000000000064
Ferrara,cusum,pca1,0.0,0,0.0,6,0.011111111111111134,0.011111111111111134
Ferrara,deep_svdd,pca1,0.0,0,0.0,6,-0.00555555555555555,-0.00555555555555555
Ferrara,ewma,pca1,0.0,0,0.0,6,0.007083333333333358,0.007083333333333358
Ferrara,hotelling_t2,pca1,0.0,0,0.0,6,0.04555555555555557,0.04555555555555557
Ferrara,isolation_forest,pca1,0.0,0,0.0,6,-0.07527777777777775,-0.07527777777777775
Ferrara,lstm_ae,pca1,0.0,0,0.0,6,0.0033333333333333062,0.0033333333333333062
Ferrara,one_class_svm,pca1,0.0,0,0.0,6,0.01958333333333337,0.01958333333333337
Ferrara,rms_trend,pca1,0.0,0,0.0,6,-0.0030555555555555475,-0.0030555555555555475
Ferrara,tcn,pca1,0.0,0,0.0,6,0.0033333333333333062,0.0033333333333333062
Ferrara,three_sigma,pca1,0.0,0,0.0,6,-0.021111111111111164,-0.021111111111111164
Ferrara,transformer_ad,pca1,0.0,0,0.0,6,0.0033333333333333062,0.0033333333333333062
IMS,cusum,pca1,0.0,0,0.0,3,4.266666666666669,4.266666666666669
IMS,deep_svdd,pca1,0.0,0,0.0,3,0.0,0.0
IMS,ewma,pca1,0.0,0,0.0,3,2.1000000000000014,2.1000000000000014
IMS,hotelling_t2,pca1,0.0,0,0.0,3,1.1666666666666643,1.1666666666666643
IMS,isolation_forest,pca1,0.0,0,0.0,3,3.4333333333333336,3.4333333333333336
IMS,lstm_ae,pca1,0.0,0,0.0,3,-0.4166666666666572,-0.4166666666666572
IMS,one_class_svm,pca1,0.0,0,0.0,3,-2.4333333333332803,-2.4333333333332803
IMS,rms_trend,pca1,0.0,0,0.0,3,0.0,0.0
IMS,tcn,pca1,0.0,0,0.0,3,-0.4166666666666572,-0.4166666666666572
IMS,three_sigma,pca1,0.0,0,0.0,3,15.099999999999994,15.099999999999994
IMS,transformer_ad,pca1,0.0,0,0.0,3,-0.4166666666666572,-0.4166666666666572
ONGC,cusum,pca1,0.0,0,0.0,1,-0.017055555555558044,-0.017055555555558044
ONGC,deep_svdd,pca1,0.0,0,0.0,1,0.00333333333333332,0.00333333333333332
ONGC,ewma,pca1,0.0,0,0.0,1,-0.018777777777778226,-0.018777777777778226
ONGC,hotelling_t2,pca1,0.0,0,0.0,1,2.4057222222222236,2.4057222222222236
ONGC,isolation_forest,pca1,0.0,0,0.0,1,0.12127777777777737,0.12127777777777737
ONGC,lstm_ae,pca1,0.0,0,0.0,1,-0.26322222222222535,-0.26322222222222535
ONGC,one_class_svm,pca1,0.0,0,0.0,1,0.01055555555555543,0.01055555555555543
ONGC,rms_trend,pca1,0.0,0,0.0,1,0.0007222222222225128,0.0007222222222225128
ONGC,tcn,pca1,0.0,0,0.0,1,-0.13438888888889267,-0.13438888888889267
ONGC,three_sigma,pca1,0.0,0,0.0,1,0.01055555555555543,0.01055555555555543
ONGC,transformer_ad,pca1,0.0,0,0.0,1,-0.005555555555559977,-0.005555555555559977
XJTU-SY,cusum,pca1,0.0,0,0.0,10,0.0,0.0
XJTU-SY,deep_svdd,pca1,0.0,0,0.0,10,0.0,0.0
XJTU-SY,ewma,pca1,0.0,0,0.0,10,0.0,0.0
XJTU-SY,hotelling_t2,pca1,0.0,0,0.0,10,0.0,0.0
XJTU-SY,isolation_forest,pca1,0.0,0,0.0,10,-0.10277777777777772,-0.10277777777777772
XJTU-SY,lstm_ae,pca1,0.0,0,0.0,3,0.0,0.0
XJTU-SY,one_class_svm,pca1,0.0,0,0.0,10,0.0,0.0
XJTU-SY,rms_trend,pca1,0.0,0,0.0,10,0.0,0.0
XJTU-SY,tcn,pca1,0.0,0,0.0,3,0.0,0.0
XJTU-SY,three_sigma,pca1,0.0,0,0.0,10,0.0,0.0
XJTU-SY,transformer_ad,pca1,0.0,0,0.0,3,0.0,0.0
FEMTO,cusum,kurt_only,0.0,0,0.0,6,0.0013888888888889117,0.0013888888888889117
FEMTO,deep_svdd,kurt_only,0.0,0,0.0,6,-0.0033333333333333288,-0.0033333333333333288
FEMTO,ewma,kurt_only,0.0,0,0.0,6,0.008333333333333345,0.008333333333333345
FEMTO,hotelling_t2,kurt_only,0.0,0,0.0,6,0.06944444444444448,0.06944444444444448
FEMTO,isolation_forest,kurt_only,0.0,0,0.0,6,-0.1366666666666666,-0.1366666666666666
