dataset,short_name,n_rows_both,n_rows_one_side_only,lead_time_hours_max_abs_dev,lead_time_hours_nan_mismatch,far_preonset_pct_max_abs_dev,far_preonset_pct_nan_mismatch,t_onset_mismatch
FEMTO,cusum,60,0,0.0,0,0.0,0,0
FEMTO,deep_svdd,60,0,0.0,0,0.0,0,0
FEMTO,ewma,60,0,0.0,0,0.0,0,0
FEMTO,hotelling_t2,60,0,0.0,0,0.0,0,0
FEMTO,isolation_forest,60,0,0.0,0,0.0,0,0
FEMTO,lstm_ae,60,0,0.0,0,0.0,0,0
FEMTO,one_class_svm,60,0,0.0,0,0.0,0,0
FEMTO,rms_trend,60,0,0.0,0,0.0,0,0
FEMTO,tcn,60,0,0.0,0,0.0,0,0
FEMTO,three_sigma,60,0,0.0,0,0.0,0,0
FEMTO,transformer_ad,60,0,0.0,0,0.0,0,0
Ferrara,cusum,60,0,0.0,0,0.0,0,0
Ferrara,deep_svdd,60,0,0.0,0,0.0,0,0
Ferrara,ewma,60,0,0.0,0,0.0,0,0
Ferrara,hotelling_t2,60,0,0.0,0,0.0,0,0
Ferrara,isolation_forest,60,0,0.0,0,0.0,0,0
Ferrara,lstm_ae,60,0,0.0,0,0.0,0,0
Ferrara,one_class_svm,60,0,0.0,0,0.0,0,0
Ferrara,rms_trend,60,0,0.0,0,0.0,0,0
Ferrara,tcn,60,0,0.0,0,0.0,0,0
Ferrara,three_sigma,60,0,0.0,0,0.0,0,0
Ferrara,transformer_ad,60,0,0.0,0,0.0,0,0
IMS,cusum,30,0,0.0,0,0.0,0,0
IMS,deep_svdd,30,0,0.0,0,0.0,0,0
IMS,ewma,30,0,0.0,0,0.0,0,0
IMS,hotelling_t2,30,0,0.0,0,0.0,0,0
IMS,isolation_forest,30,0,0.0,0,0.0,0,0
IMS,lstm_ae,30,0,0.0,0,0.0,0,0
IMS,one_class_svm,30,0,0.0,0,0.0,0,0
IMS,rms_trend,30,0,0.0,0,0.0,0,0
IMS,tcn,30,0,0.0,0,0.0,0,0
IMS,three_sigma,30,0,0.0,0,0.0,0,0
IMS,transformer_ad,30,0,0.0,0,0.0,0,0
ONGC,cusum,10,0,0.0,0,0.0,0,0
ONGC,deep_svdd,10,0,0.0,0,0.0,0,0
ONGC,ewma,10,0,0.0,0,0.0,0,0
ONGC,hotelling_t2,10,0,0.0,0,0.0,0,0
ONGC,isolation_forest,10,0,0.0,0,0.0,0,0
ONGC,lstm_ae,10,0,0.0,0,0.0,0,0
ONGC,one_class_svm,10,0,0.0,0,0.0,0,0
ONGC,rms_trend,10,0,0.0,0,0.0,0,0
ONGC,tcn,10,0,0.0,0,0.0,0,0
ONGC,three_sigma,10,0,0.0,0,0.0,0,0
ONGC,transformer_ad,10,0,0.0,0,0.0,0,0
XJTU-SY,cusum,90,0,0.0,0,0.0,0,0
XJTU-SY,deep_svdd,90,0,0.0,0,0.0,0,0
XJTU-SY,ewma,90,0,0.0,0,0.0,0,0
XJTU-SY,hotelling_t2,90,0,0.0,0,0.0,0,0
XJTU-SY,isolation_forest,90,0,0.0,0,0.0,0,0
XJTU-SY,lstm_ae,90,0,0.0,0,0.0,0,0
XJTU-SY,one_class_svm,90,0,0.0,0,0.0,0,0
XJTU-SY,rms_trend,90,0,0.0,0,0.0,0,0
XJTU-SY,tcn,90,0,0.0,0,0.0,0,0
XJTU-SY,three_sigma,90,0,0.0,0,0.0,0,0
XJTU-SY,transformer_ad,90,0,0.0,0,0.0,0,0
