dataset,run,seed,method,short_name,mode,factor,effective_interval_min,t_onset,t_fail,max_lead_hours,lead_time_hours,detection_delay_hours,far_preonset_pct,lead_norm,vlt_legacy_hours,far_legacy_pct,valid_alarm,n_test_windows,window_rows,persistence_windows,window_floored,control,onset_method,onset_indicator,feature_mode
FEMTO,Bearing1_1,42,RMS-Trend (kσ),rms_trend,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,0.06111111111111111,4.063888888888889,,0.014814814814814814,0.06111111111111111,0.0,True,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
FEMTO,Bearing1_1,42,3σ Rule (σ=3.0),three_sigma,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,0.15833333333333333,3.966666666666667,,0.03838383838383838,0.15833333333333333,0.0,True,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,0.15833333333333333,3.966666666666667,,0.03838383838383838,0.15833333333333333,0.0,True,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,0.4222222222222222,3.702777777777778,,0.10235690235690235,0.4222222222222222,0.0,True,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Hotelling T²,hotelling_t2,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,0.575,3.55,,0.13939393939393938,0.575,0.0,True,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Isolation Forest,isolation_forest,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,0.17222222222222222,3.952777777777778,,0.041750841750841754,0.17222222222222222,0.0,True,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Deep SVDD,deep_svdd,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,0.0,,,0.0,0.0,0.0,False,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
FEMTO,Bearing1_1,42,LSTM-Autoencoder,lstm_ae,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,3.1166666666666667,1.0083333333333333,,0.7555555555555555,0.0,100.0,True,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
FEMTO,Bearing1_1,42,TCN-Autoencoder,tcn,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,3.1166666666666667,1.0083333333333333,,0.7555555555555555,0.0,100.0,True,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Transformer-AD,transformer_ad,aggregate,1,0.17,2011-01-01 03:39:30,2011-01-01 07:47:00,4.12,3.1166666666666667,1.0083333333333333,,0.7555555555555555,0.0,100.0,True,224,10,3,False,False,terminal,kurt_only,load_pipeline (invariant)
