dataset,run,seed,method,short_name,mode,factor,effective_interval_min,t_onset,t_fail,max_lead_hours,lead_time_hours,detection_delay_hours,far_preonset_pct,lead_norm,vlt_legacy_hours,far_legacy_pct,valid_alarm,n_test_windows,window_rows,persistence_windows,window_floored,control,onset_method,onset_indicator,feature_mode
FEMTO,Bearing1_1,42,RMS-Trend (kσ),rms_trend,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.06111111111111111,0.16944444444444445,0.0,0.2650602409638554,0.06111111111111111,0.0,True,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,3σ Rule (σ=3.0),three_sigma,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.15833333333333333,0.07222222222222222,0.0,0.6867469879518071,0.15833333333333333,0.0,True,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.15833333333333333,0.07222222222222222,0.0,0.6867469879518071,0.15833333333333333,0.0,True,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.4222222222222222,,6.730769230769231,1.8313253012048192,0.4222222222222222,0.0,True,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Hotelling T²,hotelling_t2,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.575,,11.538461538461538,2.4939759036144573,0.575,0.0,False,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Isolation Forest,isolation_forest,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.17222222222222222,0.058333333333333334,0.0,0.7469879518072289,0.17222222222222222,0.0,True,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Deep SVDD,deep_svdd,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.0,,0.0,0.0,0.0,0.0,False,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,LSTM-Autoencoder,lstm_ae,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,3.1166666666666667,,100.0,13.518072289156626,0.0,100.0,False,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,TCN-Autoencoder,tcn,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,3.1166666666666667,,100.0,13.518072289156626,0.0,100.0,False,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Transformer-AD,transformer_ad,aggregate,1,0.17,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,3.1166666666666667,,100.0,13.518072289156626,0.0,100.0,False,224,10,3,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,RMS-Trend (kσ),rms_trend,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.0,,0.0,0.0,0.0,0.0,False,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,3σ Rule (σ=3.0),three_sigma,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.21666666666666667,0.013888888888888888,0.0,0.9397590361445783,0.21666666666666667,0.0,True,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.21666666666666667,0.013888888888888888,0.0,0.9397590361445783,0.21666666666666667,0.0,True,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.5833333333333334,,12.643678160919542,2.5301204819277108,0.5833333333333334,0.0,False,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Hotelling T²,hotelling_t2,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,2.15,,58.620689655172406,9.325301204819276,2.15,0.0,False,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Isolation Forest,isolation_forest,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.5833333333333334,,11.494252873563218,2.5301204819277108,0.5833333333333334,0.0,False,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Deep SVDD,deep_svdd,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.0,,0.0,0.0,0.0,0.0,False,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,LSTM-Autoencoder,lstm_ae,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,3.1166666666666667,,100.0,13.518072289156626,0.0,100.0,False,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,TCN-Autoencoder,tcn,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,3.1166666666666667,,100.0,13.518072289156626,0.0,100.0,False,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Transformer-AD,transformer_ad,aggregate,2,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,3.1166666666666667,,100.0,13.518072289156626,0.0,100.0,False,93,5,4,False,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,RMS-Trend (kσ),rms_trend,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.16666666666666666,0.06388888888888888,0.0,0.7228915662650601,0.16666666666666666,0.0,True,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,3σ Rule (σ=3.0),three_sigma,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.16666666666666666,0.06388888888888888,0.0,0.7228915662650601,0.16666666666666666,0.0,True,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.16666666666666666,0.06388888888888888,0.0,0.7228915662650601,0.16666666666666666,0.0,True,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.4,,6.321839080459771,1.7349397590361446,0.4,0.0,True,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Hotelling T²,hotelling_t2,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,1.6833333333333333,,45.40229885057471,7.301204819277108,1.6833333333333333,0.0,False,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Isolation Forest,isolation_forest,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,1.5333333333333334,,27.011494252873565,6.650602409638554,1.5333333333333334,0.0,False,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Deep SVDD,deep_svdd,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.03333333333333333,0.19722222222222222,0.0,0.14457831325301204,0.03333333333333333,0.0,True,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,LSTM-Autoencoder,lstm_ae,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,2.6166666666666667,,82.75862068965517,11.349397590361445,2.6166666666666667,0.0,False,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,TCN-Autoencoder,tcn,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,3.1166666666666667,,100.0,13.518072289156626,0.0,100.0,False,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Transformer-AD,transformer_ad,aggregate,5,1.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,3.1166666666666667,,100.0,13.518072289156626,0.0,100.0,False,187,3,2,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,RMS-Trend (kσ),rms_trend,aggregate,10,2.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.15,0.08055555555555556,0.0,0.6506024096385542,0.15,0.0,True,93,3,1,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,3σ Rule (σ=3.0),three_sigma,aggregate,10,2.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.18333333333333332,0.04722222222222222,0.0,0.7951807228915662,0.18333333333333332,0.0,True,93,3,1,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,10,2.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.18333333333333332,0.04722222222222222,0.0,0.7951807228915662,0.18333333333333332,0.0,True,93,3,1,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,10,2.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.5166666666666667,,10.344827586206897,2.2409638554216866,0.5166666666666667,0.0,False,93,3,1,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Hotelling T²,hotelling_t2,aggregate,10,2.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,2.216666666666667,,63.2183908045977,9.614457831325302,2.216666666666667,0.0,False,93,3,1,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Isolation Forest,isolation_forest,aggregate,10,2.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.18333333333333332,0.04722222222222222,0.0,0.7951807228915662,0.18333333333333332,0.0,True,93,3,1,True,False,terminal,pca1,load_pipeline (invariant)
FEMTO,Bearing1_1,42,Deep SVDD,deep_svdd,aggregate,10,2.0,2011-01-01 07:33:10,2011-01-01 07:47:00,0.23,0.05,0.18055555555555555,0.0,0.21686746987951808,0.05,0.0,True,93,3,1,True,False,terminal,pca1,load_pipeline (invariant)
