dataset,run,seed,method,short_name,mode,factor,effective_interval_min,t_onset,t_fail,max_lead_hours,lead_time_hours,detection_delay_hours,far_preonset_pct,lead_norm,vlt_legacy_hours,far_legacy_pct,valid_alarm,n_test_windows,window_rows,persistence_windows,window_floored,control,onset_method,onset_indicator,feature_mode
IMS,1st_test,42,RMS-Trend (kσ),rms_trend,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,0.0,,0.0,0.0,0.0,0.0,False,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,3σ Rule (σ=3.0),three_sigma,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,108.69888888888889,,42.857142857142854,10.469713184931507,108.69888888888889,0.0,False,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,152.23222222222222,,64.28571428571429,14.662778253424658,152.23222222222222,0.0,False,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,114.93222222222222,,58.333333333333336,11.070098458904111,114.93222222222222,0.0,False,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,Hotelling T²,hotelling_t2,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,152.23222222222222,,66.07142857142857,14.662778253424658,152.23222222222222,0.0,False,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,Isolation Forest,isolation_forest,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,152.23222222222222,,73.21428571428571,14.662778253424658,152.23222222222222,0.0,False,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,Deep SVDD,deep_svdd,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,34.04888888888889,,1.7857142857142856,3.2795376712328768,34.04888888888889,0.0,True,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,LSTM-Autoencoder,lstm_ae,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,195.63222222222223,,100.0,18.843000856164384,0.0,100.0,False,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,TCN-Autoencoder,tcn,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,154.73222222222222,,81.54761904761905,14.90357448630137,154.73222222222222,0.0,False,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,Transformer-AD,transformer_ad,aggregate,1,50.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,153.89888888888888,,80.95238095238095,14.823309075342465,153.89888888888888,0.0,False,172,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,RMS-Trend (kσ),rms_trend,aggregate,2,100.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,92.89888888888889,,26.190476190476193,8.947880993150685,92.89888888888889,0.0,False,86,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,3σ Rule (σ=3.0),three_sigma,aggregate,2,100.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,112.43222222222222,,47.61904761904761,10.829302226027398,112.43222222222222,0.0,False,86,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,2,100.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,117.43222222222222,,60.71428571428571,11.310894691780822,117.43222222222222,0.0,False,86,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
IMS,1st_test,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,2,100.0,2003-11-25 13:17:00,2003-11-25 23:39:56,10.38,114.0988888888889,,58.333333333333336,10.989833047945206,114.0988888888889,0.0,False,86,10,3,False,True,terminal,kurt_only,"invariant (controlled, D-2)"
