dataset,run,seed,method,short_name,mode,factor,effective_interval_min,t_onset,t_fail,max_lead_hours,lead_time_hours,detection_delay_hours,far_preonset_pct,lead_norm,vlt_legacy_hours,far_legacy_pct,valid_alarm,n_test_windows,window_rows,persistence_windows,window_floored,control,onset_method,onset_indicator,feature_mode
ONGC,LPC,42,RMS-Trend (kσ),rms_trend,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,22.816388888888888,,0.21216407355021216,1.452014354151567,22.816388888888888,0.0,True,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,3σ Rule (σ=3.0),three_sigma,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,35.24722222222222,,10.537482319660537,2.2431013452597712,0.0,52.71317829457365,False,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,35.28888888888889,,85.71428571428571,2.245752974243844,0.0,96.89922480620154,False,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,33.9275,,92.78642149929279,2.1591154165709137,0.0,20.930232558139537,False,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,Hotelling T²,hotelling_t2,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,30.372222222222224,,3.818953323903819,1.9328607541232832,30.372222222222224,0.0,True,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,Isolation Forest,isolation_forest,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,34.88583333333333,,7.8500707213578504,2.2201028832045817,0.0,12.4031007751938,True,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,Deep SVDD,deep_svdd,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,0.0,,0.0,0.0,0.0,0.0,False,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,LSTM-Autoencoder,lstm_ae,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,34.94166666666667,,90.24045261669023,2.2236560660432394,0.0,77.51937984496125,False,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,TCN-Autoencoder,tcn,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,34.94166666666667,,66.54879773691655,2.2236560660432394,0.0,77.51937984496125,False,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,Transformer-AD,transformer_ad,aggregate,1,0.17,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,34.94166666666667,,79.27864214992928,2.2236560660432394,0.0,77.51937984496125,False,2562,10,3,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,RMS-Trend (kσ),rms_trend,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,0.0,,0.0,0.0,0.0,0.0,False,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,3σ Rule (σ=3.0),three_sigma,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,35.36666666666667,,29.830508474576273,2.2507026816807794,0.0,100.0,False,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,35.266666666666666,,88.30508474576271,2.244338772119005,0.0,94.44444444444444,False,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,33.9,,92.54237288135593,2.1573653414414253,0.0,18.51851851851852,False,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,Hotelling T²,hotelling_t2,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,34.9,,10.0,2.2210044370591664,0.0,7.4074074074074066,True,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,Isolation Forest,isolation_forest,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,34.9,,25.932203389830512,2.2210044370591664,0.0,25.925925925925924,False,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,Deep SVDD,deep_svdd,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,0.0,,0.0,0.0,0.0,0.0,False,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,LSTM-Autoencoder,lstm_ae,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,34.4,,94.91525423728814,2.189184889250296,0.0,46.2962962962963,False,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,TCN-Autoencoder,tcn,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,34.4,,90.5084745762712,2.189184889250296,0.0,46.2962962962963,False,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
ONGC,LPC,42,Transformer-AD,transformer_ad,aggregate,2,1.0,2023-11-12 18:03:11,2023-11-13 09:46:00,15.71,35.36666666666667,,100.0,2.2507026816807794,0.0,100.0,False,1068,5,4,False,False,terminal,pca1,load_pipeline (invariant)
