mode,factor,effective_interval_min,method,VLT_hours_mean,VLT_hours_std,VLT_hours_median,VLT_norm_mean,VLT_norm_std,VLT_norm_median,VLT_norm_min,VLT_norm_max,FAR_pct_mean,FAR_pct_std,FAR_pct_median,n_runs
aggregate,1,10.0,3σ Rule (σ=3.0),50.576666666666675,47.303886027823694,58.0,0.47219999999999995,0.4607612396892777,0.496,0.0,0.9206,0.0,0.0,0.0,3
aggregate,2,20.0,3σ Rule (σ=3.0),49.56666666666666,49.33663175910303,50.03,0.4387666666666667,0.4035709892117288,0.5222,0.0,0.7941,0.0,0.0,0.0,3
aggregate,5,50.0,3σ Rule (σ=3.0),51.0,88.33459118601274,0.0,0.2699,0.46748051296284,0.0,0.0,0.8097,8.333333333333334,14.433756729740644,0.0,3
aggregate,10,100.0,3σ Rule (σ=3.0),51.556666666666665,89.2987661355594,0.0,0.2728333333333333,0.4725611953317087,0.0,0.0,0.8185,16.666666666666668,28.867513459481287,0.0,3
aggregate,20,200.0,3σ Rule (σ=3.0),80.75666666666666,73.15719809651907,99.67,0.4460333333333333,0.41139482657580095,0.5275,0.0,0.8106,33.333333333333336,57.735026918962575,0.0,3
aggregate,1,10.0,"EWMA (λ=0.2, k=3.0)",69.24333333333333,77.0399418051009,55.5,0.5621999999999999,0.48833689190967333,0.8056,0.0,0.881,0.0,0.0,0.0,3
aggregate,2,20.0,"EWMA (λ=0.2, k=3.0)",67.56666666666666,77.83111995425308,50.03,0.5339999999999999,0.46250903774953417,0.7941,0.0,0.8079,0.0,0.0,0.0,3
aggregate,5,50.0,"EWMA (λ=0.2, k=3.0)",51.9,49.256776183587164,57.7,0.47816666666666663,0.4592867767891139,0.5186,0.0,0.9159,0.0,0.0,0.0,3
aggregate,10,100.0,"EWMA (λ=0.2, k=3.0)",32.666666666666664,56.58032638058333,0.0,0.17286666666666664,0.2994138496017399,0.0,0.0,0.5186,16.666666666666668,28.867513459481287,0.0,3
aggregate,20,200.0,"EWMA (λ=0.2, k=3.0)",32.11,55.61615143103665,0.0,0.16993333333333335,0.29433316723287123,0.0,0.0,0.5098,33.333333333333336,57.735026918962575,0.0,3
aggregate,1,10.0,Hotelling T²,58.48,56.72508527979486,62.17,0.5287333333333334,0.4971809462693973,0.5994,0.0,0.9868,0.0,0.0,0.0,3
aggregate,2,20.0,Hotelling T²,60.01,61.73159077814211,56.7,0.5175666666666666,0.46496856166125183,0.6527,0.0,0.9,0.0,0.0,0.0,3
aggregate,5,50.0,Hotelling T²,52.17666666666667,49.64597298203887,57.7,0.47963333333333336,0.45948743544664344,0.523,0.0,0.9159,0.0,0.0,0.0,3
aggregate,10,100.0,Hotelling T²,76.89999999999999,88.08365342105196,57.7,0.6104666666666666,0.528679679327032,0.9155,0.0,0.9159,0.0,0.0,0.0,3
aggregate,20,200.0,Hotelling T²,105.2,92.36514494115191,142.6,0.5753666666666667,0.5010350320420054,0.8106,0.0,0.9155,33.333333333333336,57.735026918962575,0.0,3
aggregate,1,10.0,Isolation Forest,60.423333333333325,61.67071941637565,58.0,0.5243,0.47345970261469983,0.6523,0.0,0.9206,0.0,0.0,0.0,3
aggregate,2,20.0,Isolation Forest,70.45333333333333,77.41625561426576,58.03,0.5775,0.5031284229697224,0.8114,0.0,0.9211,0.0,0.0,0.0,3
aggregate,5,50.0,Isolation Forest,57.666666666666664,99.88159656980525,0.0,0.30516666666666664,0.5285641714431024,0.0,0.0,0.9155,8.333333333333334,14.433756729740644,0.0,3
aggregate,10,100.0,Isolation Forest,57.666666666666664,99.88159656980525,0.0,0.30516666666666664,0.5285641714431024,0.0,0.0,0.9155,16.666666666666668,28.867513459481287,0.0,3
aggregate,20,200.0,Isolation Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.54,17.868102865161706,33.33,3
decimate,1,10.0,3σ Rule (σ=3.0),50.576666666666675,47.303886027823694,58.0,0.47219999999999995,0.4607612396892777,0.496,0.0,0.9206,0.0,0.0,0.0,3
