run,condition,method,n_features,lead_time_hours,far_preonset_pct,detection_delay_hours,valid_alarm
1st_test,time_only,three_sigma,49,108.7,41.82,,False
1st_test,time_only,ewma,49,152.23,63.64,,False
1st_test,time_only,hotelling_t2,49,152.23,65.45,,False
1st_test,time_only,isolation_forest,49,152.23,72.73,,False
1st_test,time_spectral,three_sigma,50,113.27,56.36,,False
1st_test,time_spectral,ewma,50,113.27,56.36,,False
1st_test,time_spectral,hotelling_t2,50,124.52,63.64,,False
1st_test,time_spectral,isolation_forest,50,123.27,61.82,,False
2nd_test,time_only,three_sigma,49,56.33,0.0,6.17,True
2nd_test,time_only,ewma,49,55.5,0.0,7.0,True
2nd_test,time_only,hotelling_t2,49,56.33,0.0,6.17,True
2nd_test,time_only,isolation_forest,49,49.67,0.0,12.83,True
2nd_test,time_spectral,three_sigma,50,65.5,100.0,,False
2nd_test,time_spectral,ewma,50,65.5,100.0,,False
2nd_test,time_spectral,hotelling_t2,50,65.5,100.0,,False
2nd_test,time_spectral,isolation_forest,50,47.17,0.0,15.33,True
3rd_test,time_only,three_sigma,49,28.83,0.0,15.67,True
3rd_test,time_only,ewma,49,28.0,0.0,16.5,True
3rd_test,time_only,hotelling_t2,49,315.85,4.85,,True
3rd_test,time_only,isolation_forest,49,59.67,0.88,,True
3rd_test,time_spectral,three_sigma,50,42.17,0.0,2.33,True
3rd_test,time_spectral,ewma,50,39.67,0.0,4.83,True
3rd_test,time_spectral,hotelling_t2,50,59.67,4.19,,True
3rd_test,time_spectral,isolation_forest,50,42.17,0.0,2.33,True
