dataset,run,method,short_name,percentile,lead_time_hours,far_preonset_pct,valid_alarm
IMS,1st_test,LSTM-Autoencoder,lstm_ae,95.0,195.63222222222223,100.0,False
IMS,1st_test,TCN-Autoencoder,tcn,95.0,155.56555555555556,81.81818181818183,False
IMS,1st_test,Transformer-AD,transformer_ad,95.0,153.89888888888888,80.60606060606061,False
IMS,1st_test,LSTM-Autoencoder,lstm_ae,99.0,195.63222222222223,100.0,False
IMS,1st_test,TCN-Autoencoder,tcn,99.0,154.73222222222222,81.21212121212122,False
IMS,1st_test,Transformer-AD,transformer_ad,99.0,152.23222222222222,79.39393939393939,False
IMS,1st_test,LSTM-Autoencoder,lstm_ae,99.5,155.56555555555556,81.81818181818183,False
IMS,1st_test,TCN-Autoencoder,tcn,99.5,154.73222222222222,81.21212121212122,False
IMS,1st_test,Transformer-AD,transformer_ad,99.5,152.23222222222222,79.39393939393939,False
IMS,2nd_test,LSTM-Autoencoder,lstm_ae,95.0,65.5,100.0,False
IMS,2nd_test,TCN-Autoencoder,tcn,95.0,65.5,100.0,False
IMS,2nd_test,Transformer-AD,transformer_ad,95.0,65.5,100.0,False
IMS,2nd_test,LSTM-Autoencoder,lstm_ae,99.0,65.5,100.0,False
IMS,2nd_test,TCN-Autoencoder,tcn,99.0,65.5,100.0,False
IMS,2nd_test,Transformer-AD,transformer_ad,99.0,65.5,100.0,False
IMS,2nd_test,LSTM-Autoencoder,lstm_ae,99.5,65.5,100.0,False
IMS,2nd_test,TCN-Autoencoder,tcn,99.5,65.5,100.0,False
IMS,2nd_test,Transformer-AD,transformer_ad,99.5,65.5,100.0,False
IMS,3rd_test,LSTM-Autoencoder,lstm_ae,95.0,337.68333333333334,63.436123348017624,False
IMS,3rd_test,TCN-Autoencoder,tcn,95.0,335.01666666666665,66.07929515418502,False
IMS,3rd_test,Transformer-AD,transformer_ad,95.0,332.51666666666665,62.55506607929515,False
IMS,3rd_test,LSTM-Autoencoder,lstm_ae,99.0,320.85,46.47577092511013,False
IMS,3rd_test,TCN-Autoencoder,tcn,99.0,329.18333333333334,58.590308370044056,False
IMS,3rd_test,Transformer-AD,transformer_ad,99.0,327.51666666666665,58.14977973568281,False
IMS,3rd_test,LSTM-Autoencoder,lstm_ae,99.5,59.666666666666664,4.185022026431718,True
IMS,3rd_test,TCN-Autoencoder,tcn,99.5,320.85,42.070484581497794,False
IMS,3rd_test,Transformer-AD,transformer_ad,99.5,318.35,36.56387665198238,False
