dataset,method,short_name,percentile,lead_time_hours_mean,lead_time_hours_std,far_preonset_pct_mean,far_preonset_pct_std,valid_frac,n_runs
XJTU-SY,3σ Rule (σ=3.0),three_sigma,90.0,1.1199999999999999,1.0306356662483642,58.854166666666664,48.4290987337847,0.6,10
XJTU-SY,3σ Rule (σ=3.0),three_sigma,92.5,1.1116666666666668,1.0341409627629095,50.520833333333336,54.21372154876168,0.7,10
XJTU-SY,3σ Rule (σ=3.0),three_sigma,95.0,1.0283333333333333,1.0696442814734666,50.520833333333336,54.21372154876168,0.7,10
XJTU-SY,3σ Rule (σ=3.0),three_sigma,97.5,0.97,1.1199867724086612,50.520833333333336,54.21372154876168,0.5,10
XJTU-SY,3σ Rule (σ=3.0),three_sigma,99.0,0.97,1.1199867724086612,50.520833333333336,54.21372154876168,0.5,10
XJTU-SY,3σ Rule (σ=3.0),three_sigma,99.5,0.97,1.1199867724086612,50.520833333333336,54.21372154876168,0.5,10
XJTU-SY,3σ Rule (σ=3.0),three_sigma,99.9,0.97,1.1199867724086612,50.520833333333336,54.21372154876168,0.5,10
XJTU-SY,"EWMA (λ=0.2, k=3.0)",ewma,90.0,1.1616666666666666,1.0002792819884399,58.854166666666664,48.4290987337847,0.6,10
XJTU-SY,"EWMA (λ=0.2, k=3.0)",ewma,92.5,1.1616666666666666,1.0002792819884399,58.854166666666664,48.4290987337847,0.6,10
XJTU-SY,"EWMA (λ=0.2, k=3.0)",ewma,95.0,1.1366666666666667,1.010158281204693,58.854166666666664,48.4290987337847,0.6,10
XJTU-SY,"EWMA (λ=0.2, k=3.0)",ewma,97.5,1.1283333333333334,0.988297263722551,42.1875,48.643714265051756,0.7,10
XJTU-SY,"EWMA (λ=0.2, k=3.0)",ewma,99.0,1.1199999999999999,0.9910961633152818,25.520833333333332,41.477434879301136,0.8,10
XJTU-SY,"EWMA (λ=0.2, k=3.0)",ewma,99.5,1.1199999999999999,0.9910961633152818,25.520833333333332,41.477434879301136,0.8,10
XJTU-SY,"EWMA (λ=0.2, k=3.0)",ewma,99.9,1.1199999999999999,0.9910961633152818,25.520833333333332,41.477434879301136,0.8,10
XJTU-SY,Hotelling T²,hotelling_t2,90.0,1.295,0.9771478400091603,87.5,30.618621784789728,0.4,10
XJTU-SY,Hotelling T²,hotelling_t2,92.5,1.295,0.9771478400091603,87.5,30.618621784789728,0.4,10
XJTU-SY,Hotelling T²,hotelling_t2,95.0,1.2783333333333333,0.9730964323573827,86.45833333333333,33.17017360018887,0.4,10
XJTU-SY,Hotelling T²,hotelling_t2,97.5,1.2783333333333333,0.9730964323573827,86.45833333333333,33.17017360018887,0.4,10
XJTU-SY,Hotelling T²,hotelling_t2,99.0,1.2783333333333333,0.9730964323573827,86.45833333333333,33.17017360018887,0.4,10
XJTU-SY,Hotelling T²,hotelling_t2,99.5,1.2783333333333333,0.9730964323573827,86.45833333333333,33.17017360018887,0.4,10
XJTU-SY,Hotelling T²,hotelling_t2,99.9,1.2783333333333333,0.9730964323573827,86.45833333333333,33.17017360018887,0.4,10
XJTU-SY,Isolation Forest,isolation_forest,90.0,1.01,1.0946615689870929,51.041666666666664,53.67970209182114,0.6,10
XJTU-SY,Isolation Forest,isolation_forest,92.5,0.96,1.1173491557263866,51.041666666666664,53.67970209182114,0.6,10
XJTU-SY,Isolation Forest,isolation_forest,95.0,0.8566666666666667,1.1834037537731763,34.375,50.890507464555704,0.4,10
XJTU-SY,Isolation Forest,isolation_forest,97.5,0.8483333333333333,1.1845312142492759,33.854166666666664,51.25063515866576,0.4,10
XJTU-SY,Isolation Forest,isolation_forest,99.0,0.8066666666666666,1.134046616499984,33.854166666666664,51.25063515866576,0.4,10
XJTU-SY,Isolation Forest,isolation_forest,99.5,0.7316666666666667,1.0783632430450405,33.854166666666664,51.25063515866576,0.4,10
XJTU-SY,Isolation Forest,isolation_forest,99.9,0.6183333333333334,1.0909405275118809,33.854166666666664,51.25063515866576,0.3,10
XJTU-SY,RMS-Trend (kσ),rms_trend,90.0,0.255,0.33893897626214314,0.0,0.0,0.4,10
XJTU-SY,RMS-Trend (kσ),rms_trend,92.5,0.23833333333333334,0.32337437692915777,0.0,0.0,0.4,10
XJTU-SY,RMS-Trend (kσ),rms_trend,95.0,0.16166666666666668,0.27194430257628804,0.0,0.0,0.3,10
XJTU-SY,RMS-Trend (kσ),rms_trend,97.5,0.0,0.0,0.0,0.0,0.0,10
XJTU-SY,RMS-Trend (kσ),rms_trend,99.0,0.0,0.0,0.0,0.0,0.0,10
XJTU-SY,RMS-Trend (kσ),rms_trend,99.5,0.0,0.0,0.0,0.0,0.0,10
XJTU-SY,RMS-Trend (kσ),rms_trend,99.9,0.0,0.0,0.0,0.0,0.0,10
