n,label,env,width,page,height_bp,frac_textheight,page_equiv,caption_words,src_line
1,tab:datasets,table,single,5,134.5,0.208,0.116,37,151
2,alg:onset,algorithm,single,6,92.7,0.143,0.084,0,193
3,tab:imslead,table,single,9,251.9,0.389,0.207,87,288
4,fig:health,figure,single,9,180.4,0.278,0.151,42,315
5,tab:onset,table,single,9,161.4,0.249,0.137,92,325
6,tab:robust,table,single,10,355.4,0.548,0.287,190,349
7,tab:crossds,table,single,12,415.2,0.641,0.333,103,387
8,tab:equiv,table*,full,13,209.6,0.323,0.351,124,436
9,fig:crossdataset,figure*,full,11,279.9,0.432,0.46,93,461
10,fig:sweep,figure*,full,13,218.3,0.337,0.365,39,479
11,tab:imssweep,table,single,14,180.7,0.279,0.152,54,486
12,tab:holm,table,single,14,281.1,0.434,0.229,122,514
13,tab:perbearing,table,single,14,188.7,0.291,0.158,45,542
14,tab:gatedcontrast,table,single,14,211.5,0.326,0.175,80,570
15,tab:conformal,table,single,15,87.7,0.135,0.08,20,599
16,fig:conformal,figure*,full,16,425.2,0.656,0.684,115,615
17,fig:tradeoffs,figure*,full,17,231.6,0.357,0.385,65,636
18,tab:farbudget,table,single,17,224.5,0.347,0.186,151,643
19,tab:tradeoff,table,single,17,240.5,0.371,0.198,92,663
20,tab:ablation_general,table,single,18,154.8,0.239,0.132,53,692
21,tab:phrank,table,single,18,165.1,0.255,0.14,65,724
22,fig:mintrain,figure,single,19,222.6,0.344,0.184,80,752
23,tab:hyperparams,table,single,24,251.4,0.388,0.206,32,824
24,tab:compute,table,single,25,180.7,0.279,0.152,41,857
25,tab:deeparch,table*,full,26,252.9,0.39,0.418,64,881
26,tab:basestats,table,single,27,148.2,0.229,0.127,38,925
27,tab:d17label,table*,full,29,188.8,0.291,0.319,112,952
28,tab:noise,table,single,29,136.5,0.211,0.118,60,988
29,tab:denoise,table,single,30,144.5,0.223,0.124,59,1005
30,tab:ongc,table,single,30,126.5,0.195,0.11,32,1029
