label,kind,printed_number,page,width,height_bp,page_equiv,caption_words
tab:datasets,Table,1,5,single,134.5,0.116,37
alg:onset,Algorithm,1,6,single,92.7,0.084,0
tab:imslead,Table,2,9,single,251.9,0.207,87
fig:health,Figure,1,9,single,180.4,0.151,42
tab:onset,Table,3,9,single,161.4,0.137,92
tab:robust,Table,4,10,single,355.4,0.287,190
tab:crossds,Table,5,12,single,415.2,0.333,103
tab:equiv,Table,6,13,full,209.6,0.351,124
fig:crossdataset,Figure,2,11,full,279.9,0.46,93
fig:sweep,Figure,3,13,full,218.3,0.365,39
tab:imssweep,Table,7,14,single,180.7,0.152,54
tab:holm,Table,8,14,single,281.1,0.229,122
tab:perbearing,Table,9,14,single,188.7,0.158,45
tab:gatedcontrast,Table,10,14,single,211.5,0.175,80
tab:conformal,Table,11,15,single,87.7,0.08,20
fig:conformal,Figure,4,16,full,425.2,0.684,115
fig:tradeoffs,Figure,5,17,full,231.6,0.385,65
tab:farbudget,Table,12,17,single,224.5,0.186,151
tab:tradeoff,Table,13,17,single,240.5,0.198,92
tab:ablation_general,Table,14,18,single,154.8,0.132,53
tab:phrank,Table,15,18,single,165.1,0.14,65
fig:mintrain,Figure,6,19,single,222.6,0.184,80
tab:hyperparams,Table,16,24,single,251.4,0.206,32
tab:compute,Table,17,25,single,180.7,0.152,41
tab:deeparch,Table,18,26,full,252.9,0.418,64
tab:basestats,Table,19,27,single,148.2,0.127,38
tab:d17label,Table,20,29,full,188.8,0.319,112
tab:noise,Table,21,29,single,136.5,0.118,60
tab:denoise,Table,22,30,single,144.5,0.124,59
tab:ongc,Table,23,30,single,126.5,0.11,32
