section,pages,words,sentences,mean_sent,p90_sent
Abstract + title,1-1,453,12,37.8,55
Introduction,1-3,1229,41,29.9,46
Related Work,3-4,1125,36,31.2,55
Datasets,4-5,524,19,27.4,44
Methodology,5-8,2663,95,28.0,47
Experimental Setup,8-8,101,4,25.2,34
Results,8-19,5594,178,31.4,55
Discussion,19-20,1002,37,27.1,40
Limitations and Threats to Validity,20-22,1030,36,28.5,54
Conclusion,22-22,310,8,38.8,58
Acknowledgments,22-22,62,3,20.7,24
Data and Code Availability,22-23,518,11,47.1,66
References,23-24,892,100,8.1,13
Appendix A: Reproducibility Settings,24-27,140,6,23.3,30
Appendix B: The 49-Dimensional Invariant Feature Space,27-27,123,4,30.8,71
Appendix C: IMS Test-3 Relabeling Justification,27-29,691,26,26.6,41
Appendix D: Mechanism Analysis and ONGC Case Study,29-30,736,27,27.3,38
